TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
15,47,43,38,52,c,4,9,False,False,True,7.6481859684,True,False,False,False,0,0,0.2,0.21,True,False,False,17.0332119465,False,False,True,0,False,False,False,52,27092019,59.9477460481,PreComm_Task,700,
16,67,55,58,64,i,12,9,False,False,True,7.64982008934,True,False,False,False,0,0,0.3,0.23,True,False,False,17.1510159969,False,False,True,0,False,False,False,64,27092019,59.9477460481,PreComm_Task,700,
17,71,43,68,46,s,28,3,True,False,False,7.68197798729,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.733549118,False,True,False,68,27092019,59.9477460481,PreComm_Task,700,
18,69,57,72,54,h,12,-3,True,False,False,7.63279795647,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6840291023,False,True,False,72,27092019,59.9477460481,PreComm_Task,700,
19,32,44,19,57,l,12,-13,False,True,False,7.64865708351,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7004981041,True,False,False,57,27092019,59.9477460481,PreComm_Task,700,
20,49,45,46,48,a,4,3,False,False,True,7.64886307716,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6999809742,False,True,False,46,27092019,59.9477460481,PreComm_Task,700,
21,44,40,57,27,f,4,-13,True,False,False,7.63104510307,True,False,False,True,0.242255926132,16.8079149723,1.0,0.25,False,True,False,0,False,False,False,0,False,False,False,57,27092019,59.9477460481,PreComm_Task,700,
22,26,54,23,57,t,28,-3,False,True,False,7.68217515945,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7330541611,True,False,False,57,27092019,59.9477460481,PreComm_Task,700,
23,69,73,82,60,e,4,13,False,False,True,7.66512084007,True,False,False,True,0.21518778801,16.7146987915,0.9,0.23,False,True,False,0,False,False,False,0,False,False,False,82,27092019,59.9477460481,PreComm_Task,700,
24,47,27,50,24,n,20,-3,True,False,False,7.61559700966,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6666359901,False,True,False,50,27092019,59.9477460481,PreComm_Task,700,
