TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,50,70,53,67,m,20,3,False,True,False,7.64358711243,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6937470436,True,False,False,67,01102019,59.9520304169,PreComm_Task,715,
2,51,31,64,18,r,20,-13,True,False,False,7.63266706467,True,False,False,False,0,0,0.4,0.25,True,False,False,17.250246048,False,True,False,0,False,False,False,64,01102019,59.9520304169,PreComm_Task,715,
3,48,76,39,85,v,28,-9,False,True,False,7.64851117134,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.699750185,True,False,False,85,01102019,59.9520304169,PreComm_Task,715,
4,57,61,60,58,a,4,3,False,False,True,7.68248295784,True,False,False,True,0.231783866882,16.9491660595,1.1,0.27,False,True,False,0,False,False,False,0,False,False,False,60,01102019,59.9520304169,PreComm_Task,715,
5,46,58,49,55,g,12,3,False,True,False,7.64900779724,True,False,False,True,0.21514415741,16.1985518932,0.4,0.25,False,False,True,0,False,False,False,0,False,False,False,55,01102019,59.9520304169,PreComm_Task,715,
6,55,43,42,56,k,12,13,False,False,True,7.68180012703,True,False,False,True,0.217149019241,16.6323611736,0.8,0.23,False,False,True,0,False,False,False,0,False,False,False,56,01102019,59.9520304169,PreComm_Task,715,
7,53,65,44,74,j,12,-9,False,True,False,7.68267679214,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7332158089,True,False,False,74,01102019,59.9520304169,PreComm_Task,715,
8,43,63,34,72,p,20,-9,False,True,False,7.66440081596,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7163200378,True,False,False,72,01102019,59.9520304169,PreComm_Task,715,
9,51,71,64,58,q,20,13,False,False,True,7.64954900742,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7001430988,True,False,False,58,01102019,59.9520304169,PreComm_Task,715,
10,80,60,71,69,o,20,9,True,False,False,7.68230700493,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.733438015,False,True,False,71,01102019,59.9520304169,PreComm_Task,715,
