TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,48,68,35,81,r,20,-13,False,True,False,7.67066407204,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7224719524,True,False,False,81,12082019,59.9222239049,PreComm_Task,685,
2,29,49,38,40,o,20,9,False,True,False,7.64928603172,True,False,False,True,0.214964866638,16.0984139442,0.3,0.25,False,False,True,0,False,False,False,0,False,False,False,40,12082019,59.9222239049,PreComm_Task,685,
3,62,42,71,33,p,20,-9,True,False,False,7.64957308769,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7003061771,False,True,False,71,12082019,59.9222239049,PreComm_Task,685,
4,42,14,39,17,s,28,3,True,False,False,7.68251991272,True,False,False,True,0.215048074722,16.2326779366,0.4,0.23,False,True,False,0,False,False,False,0,False,False,False,39,12082019,59.9222239049,PreComm_Task,685,
5,54,58,57,55,a,4,3,False,False,True,7.63286089897,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6830699444,True,False,False,55,12082019,59.9222239049,PreComm_Task,685,
6,59,63,68,54,c,4,9,False,False,True,7.64903092384,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.699655056,True,False,False,54,12082019,59.9222239049,PreComm_Task,685,
7,66,70,79,57,e,4,13,False,False,True,7.64936804771,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7006571293,True,False,False,57,12082019,59.9222239049,PreComm_Task,685,
8,43,63,56,50,q,20,13,False,False,True,7.63219594955,True,False,False,False,0,0,0.9,0.21,True,False,False,17.7166638374,False,True,False,0,False,False,False,56,12082019,59.9222239049,PreComm_Task,685,
9,49,21,52,18,t,28,-3,True,False,False,7.63313007355,True,False,False,True,0.215070009232,16.682623148,0.9,0.23,False,False,False,0,False,False,False,0,False,False,False,0,12082019,59.9222239049,PreComm_Task,685,
10,42,14,33,23,u,28,9,True,False,False,7.68252301216,True,False,False,False,0,0,0.7,0.21,True,False,False,17.5670728683,False,True,False,0,False,False,False,33,12082019,59.9222239049,PreComm_Task,685,
11,44,40,47,37,b,4,-3,True,False,False,7.64953112602,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6998050213,False,True,False,47,12082019,59.9222239049,PreComm_Task,685,
12,34,30,43,21,d,4,-9,True,False,False,7.63309001923,True,False,False,False,0,0,1.0,0.23,True,False,False,17.8342940807,False,True,False,0,False,False,False,43,12082019,59.9222239049,PreComm_Task,685,
13,58,54,71,41,f,4,-13,True,False,False,7.68165898323,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.733217001,False,True,False,71,12082019,59.9222239049,PreComm_Task,685,
14,64,52,51,65,k,12,13,False,False,True,7.68183994293,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7329068184,False,True,False,51,12082019,59.9222239049,PreComm_Task,685,
