TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,75,47,66,56,u,28,9,True,False,False,7.66654610634,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7162840366,False,True,False,66,20092019,60.0546093655,PreComm_Task,698,
2,33,29,24,38,c,4,9,False,False,True,7.63323020935,True,False,False,True,0.215889215469,16.3833901882,0.6,0.25,False,False,True,0,False,False,False,0,False,False,False,38,20092019,60.0546093655,PreComm_Task,698,
3,45,41,48,38,b,4,-3,True,False,False,7.68287611008,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7333700657,False,True,False,48,20092019,60.0546093655,PreComm_Task,698,
4,66,46,53,59,q,20,13,False,False,True,7.64836788177,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6990270615,False,True,False,53,20092019,60.0546093655,PreComm_Task,698,
5,40,36,37,39,a,4,3,False,False,True,7.6318769455,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6832499504,False,True,False,37,20092019,60.0546093655,PreComm_Task,698,
6,70,42,73,39,t,28,-3,True,False,False,7.68336892128,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7340579033,False,True,False,73,20092019,60.0546093655,PreComm_Task,698,
7,67,55,58,64,i,12,9,False,False,True,7.68218588829,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7335929871,False,True,False,58,20092019,60.0546093655,PreComm_Task,698,
8,65,53,74,44,j,12,-9,True,False,False,7.63212299347,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.683079958,False,True,False,74,20092019,60.0546093655,PreComm_Task,698,
9,75,55,72,58,m,20,3,True,False,False,7.63146495819,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6821420193,False,True,False,72,20092019,60.0546093655,PreComm_Task,698,
10,77,57,68,66,o,20,9,True,False,False,7.64913511276,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6997039318,False,True,False,68,20092019,60.0546093655,PreComm_Task,698,
11,24,36,11,49,l,12,-13,False,True,False,7.6828918457,True,False,False,True,0.21577501297,16.3322319984,0.5,0.23,False,False,True,0,False,False,False,0,False,False,False,49,20092019,60.0546093655,PreComm_Task,698,
12,57,29,44,42,w,28,13,True,False,False,7.68242478371,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7326648235,False,True,False,44,20092019,60.0546093655,PreComm_Task,698,
13,55,75,52,78,n,20,-3,False,True,False,7.64795899391,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6998031139,True,False,False,78,20092019,60.0546093655,PreComm_Task,698,
14,23,35,36,22,k,12,13,False,False,True,7.64887309074,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6998050213,True,False,False,22,20092019,60.0546093655,PreComm_Task,698,
15,50,30,63,17,r,20,-13,True,False,False,7.66541910172,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7154700756,False,True,False,63,20092019,60.0546093655,PreComm_Task,698,
16,36,48,39,45,g,12,3,False,True,False,7.64828300476,True,False,False,False,0,0,0.7,0.21,True,False,False,17.5327110291,False,True,False,0,False,False,False,39,20092019,60.0546093655,PreComm_Task,698,
17,63,67,50,80,f,4,-13,False,True,False,7.64862704277,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6994800568,True,False,False,80,20092019,60.0546093655,PreComm_Task,698,
18,28,56,15,69,x,28,-13,False,True,False,7.64849305153,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6996839046,True,False,False,69,20092019,60.0546093655,PreComm_Task,698,
19,81,53,90,44,v,28,-9,True,False,False,7.63179993629,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6837968826,False,True,False,90,20092019,60.0546093655,PreComm_Task,698,
20,67,71,80,58,e,4,13,False,False,True,7.64852619171,True,False,False,False,0,0,0.4,0.23,True,False,False,17.250328064,False,True,False,0,False,False,False,80,20092019,60.0546093655,PreComm_Task,698,
21,68,72,59,81,d,4,-9,False,True,False,7.63111901283,True,False,False,False,0,0,0.3,0.25,True,False,False,17.1494498253,False,True,False,0,False,False,False,59,20092019,60.0546093655,PreComm_Task,698,
22,27,39,24,42,h,12,-3,False,True,False,7.64970588684,True,False,False,True,0.21492099762,16.0987448692,0.3,0.27,False,False,True,0,False,False,False,0,False,False,False,42,20092019,60.0546093655,PreComm_Task,698,
23,52,24,49,27,s,28,3,True,False,False,7.66549086571,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.715916872,False,True,False,49,20092019,60.0546093655,PreComm_Task,698,
24,38,58,29,67,p,20,-9,False,True,False,7.64874601364,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7000999451,True,False,False,67,20092019,60.0546093655,PreComm_Task,698,
1,73,69,86,56,f,4,-13,True,False,False,7.63269400597,True,False,False,True,0.216856956482,15.9821329117,0.2,0.25,False,True,False,0,False,False,False,0,False,False,False,86,20092019,60.0546093655,PreComm_Task,698,
2,58,62,55,65,b,4,-3,False,True,False,7.63310599327,True,False,False,True,0.215885877609,16.9826099873,1.2,0.23,False,False,True,0,False,False,False,0,False,False,False,65,20092019,60.0546093655,PreComm_Task,698,
3,60,48,51,57,i,12,9,False,False,True,7.64974308014,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7013580799,False,True,False,51,20092019,60.0546093655,PreComm_Task,698,
4,35,55,48,42,q,20,13,False,False,True,7.68236684799,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7330977917,True,False,False,42,20092019,60.0546093655,PreComm_Task,698,
5,40,52,37,55,h,12,-3,False,True,False,7.66490888596,True,False,False,False,0,0,0.3,0.21,True,False,False,17.1495139599,False,False,True,0,False,False,False,55,20092019,60.0546093655,PreComm_Task,698,
6,66,38,57,47,u,28,9,True,False,False,7.63092112541,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6830871105,False,True,False,57,20092019,60.0546093655,PreComm_Task,698,
7,69,57,56,70,k,12,13,False,False,True,7.63304400444,True,False,False,True,0.215839862823,16.3829009533,0.6,0.23,False,False,True,0,False,False,False,0,False,False,False,70,20092019,60.0546093655,PreComm_Task,698,
8,33,45,20,58,l,12,-13,False,True,False,7.64925098419,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7002158165,False,False,True,0,20092019,60.0546093655,PreComm_Task,698,
9,30,50,17,63,r,20,-13,False,True,False,7.64900517464,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.699545145,True,False,False,63,20092019,60.0546093655,PreComm_Task,698,
10,75,55,66,64,o,20,9,True,False,False,7.64857006073,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6994771957,False,True,False,66,20092019,60.0546093655,PreComm_Task,698,
11,68,48,77,39,p,20,-9,True,False,False,7.64928221703,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7003281116,False,True,False,77,20092019,60.0546093655,PreComm_Task,698,
12,54,74,57,71,m,20,3,False,True,False,7.68189501762,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7326622009,True,False,False,71,20092019,60.0546093655,PreComm_Task,698,
