TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,41,53,44,50,g,12,3,False,True,False,7.64935183525,True,False,False,False,0,0,1.0,0.25,True,False,False,17.8677928448,False,True,False,0,False,False,False,44,31072019,60.0319173755,PreComm_Task,679,
2,59,63,56,66,b,4,-3,False,True,False,7.6321451664,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.6838769913,True,False,False,66,31072019,60.0319173755,PreComm_Task,679,
3,19,39,6,52,r,20,-13,False,True,False,7.69923400879,True,False,False,True,0.215710878372,16.6497378349,0.8,0.27,False,False,True,0,False,False,False,0,False,False,False,52,31072019,60.0319173755,PreComm_Task,679,
4,57,53,44,66,e,4,13,False,False,True,7.65055179596,True,False,False,False,0,0,0.5,0.25,True,False,False,17.3676919937,False,True,False,0,False,False,False,44,31072019,60.0319173755,PreComm_Task,679,
5,41,53,54,40,k,12,13,False,False,True,7.64969992638,True,False,False,False,0,0,0.3,0.27,True,False,False,17.1845369339,False,True,False,0,False,False,False,54,31072019,60.0319173755,PreComm_Task,679,
6,44,24,41,27,m,20,3,True,False,False,7.68218588829,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.7336339951,False,True,False,41,31072019,60.0319173755,PreComm_Task,679,
7,51,23,38,36,w,28,13,True,False,False,7.64975309372,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.7008321285,False,True,False,38,31072019,60.0319173755,PreComm_Task,679,
8,55,35,46,44,o,20,9,True,False,False,7.68149900436,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.7332720757,False,True,False,46,31072019,60.0319173755,PreComm_Task,679,
9,44,24,31,37,q,20,13,False,False,True,7.66553401947,True,False,False,True,0.243579149246,16.3440980911,0.5,0.29,False,False,True,0,False,False,False,0,False,False,False,37,31072019,60.0319173755,PreComm_Task,679,
10,53,57,56,54,a,4,3,False,False,True,7.63344287872,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.6841499805,True,False,False,54,31072019,60.0319173755,PreComm_Task,679,
11,43,55,30,68,l,12,-13,False,True,False,7.64970302582,True,False,False,True,0.254546165466,17.0382080078,1.2,0.27,False,False,True,0,False,False,False,0,False,False,False,68,31072019,60.0319173755,PreComm_Task,679,
12,64,44,67,41,n,20,-3,True,False,False,7.64961099625,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7010269165,False,True,False,67,31072019,60.0319173755,PreComm_Task,679,
13,47,75,38,84,v,28,-9,False,True,False,7.63271403313,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.683907032,True,False,False,84,31072019,60.0319173755,PreComm_Task,679,
14,69,41,66,44,s,28,3,True,False,False,7.61559987068,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6665680408,False,True,False,66,31072019,60.0319173755,PreComm_Task,679,
