TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,29,41,38,32,i,12,9,False,False,True,7.65699100494,True,False,False,True,0.216148853302,16.2071080208,0.4,0.25,False,True,False,0,False,False,False,0,False,False,False,38,19092019,60.0316596105,PreComm_Task,702,
2,66,46,53,59,q,20,13,False,False,True,7.66598796844,True,False,False,True,0.216187000275,16.5156290531,0.7,0.23,False,False,True,0,False,False,False,0,False,False,False,59,19092019,60.0316596105,PreComm_Task,702,
3,63,75,66,72,g,12,3,False,True,False,7.64855599403,True,False,False,False,0,0,1.0,0.21,True,False,False,17.8334739208,False,True,False,0,False,False,False,66,19092019,60.0316596105,PreComm_Task,702,
4,45,17,54,8,v,28,-9,True,False,False,7.6656460762,True,False,False,True,0.215195178986,17.0153141022,1.2,0.23,False,True,False,0,False,False,False,0,False,False,False,54,19092019,60.0316596105,PreComm_Task,702,
5,42,14,39,17,s,28,3,True,False,False,7.66608190536,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7168018818,False,True,False,39,19092019,60.0316596105,PreComm_Task,702,
6,22,34,19,37,h,12,-3,False,True,False,7.63265490532,True,False,False,False,0,0,0.3,0.21,True,False,False,17.1169788837,False,True,False,0,False,False,False,19,19092019,60.0316596105,PreComm_Task,702,
7,44,64,47,61,m,20,3,False,True,False,7.63185787201,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.68303895,True,False,False,61,19092019,60.0316596105,PreComm_Task,702,
8,52,48,49,51,a,4,3,False,False,True,7.68193697929,True,False,False,False,0,0,0.3,0.23,True,False,False,17.1834819317,False,True,False,0,False,False,False,49,19092019,60.0316596105,PreComm_Task,702,
9,59,63,50,72,d,4,-9,False,True,False,7.6491150856,True,False,False,True,0.214949846268,16.4979491234,0.7,0.25,False,False,True,0,False,False,False,0,False,False,False,72,19092019,60.0316596105,PreComm_Task,702,
10,41,45,28,58,f,4,-13,False,True,False,7.6338160038,True,False,False,True,0.216135025024,16.9830198288,1.2,0.23,False,False,True,0,False,False,False,0,False,False,False,58,19092019,60.0316596105,PreComm_Task,702,
11,53,33,66,20,r,20,-13,True,False,False,7.7003390789,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7502791882,False,True,False,66,19092019,60.0316596105,PreComm_Task,702,
12,61,33,64,30,t,28,-3,True,False,False,7.6476650238,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6984450817,False,True,False,64,19092019,60.0316596105,PreComm_Task,702,
13,21,41,12,50,p,20,-9,False,True,False,7.63256001472,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.6829090118,True,False,False,50,19092019,60.0316596105,PreComm_Task,702,
14,40,52,31,61,j,12,-9,False,True,False,7.6661400795,True,False,False,False,0,0,1.0,0.21,True,False,False,17.8481659889,False,True,False,0,False,False,False,31,19092019,60.0316596105,PreComm_Task,702,
15,78,58,81,55,n,20,-3,True,False,False,7.64875292778,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6998360157,False,True,False,81,19092019,60.0316596105,PreComm_Task,702,
16,43,71,56,58,w,28,13,False,True,False,7.66532111168,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7170581818,True,False,False,58,19092019,60.0316596105,PreComm_Task,702,
17,71,67,74,64,b,4,-3,True,False,False,7.64943504333,True,False,False,True,0.215070009232,16.5988531113,0.8,0.23,False,True,False,0,False,False,False,0,False,False,False,74,19092019,60.0316596105,PreComm_Task,702,
18,64,68,73,59,c,4,9,False,False,True,7.68302798271,True,False,False,False,0,0,0.7,0.21,True,False,False,17.5841958523,False,True,False,0,False,False,False,73,19092019,60.0316596105,PreComm_Task,702,
19,60,32,51,41,u,28,9,True,False,False,7.64823293686,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7000648975,False,True,False,51,19092019,60.0316596105,PreComm_Task,702,
20,22,50,9,63,x,28,-13,False,True,False,7.63202285767,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6830458641,True,False,False,63,19092019,60.0316596105,PreComm_Task,702,
