TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,71,51,58,64,q,20,13,False,False,True,7.70603680611,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7576329708,False,True,False,58,08082019,59.9552869469,PreComm_Task,683,
2,20,40,29,31,o,20,9,False,True,False,7.63370394707,True,False,False,True,0.229650020599,16.9976580143,1.2,0.25,False,False,True,0,False,False,False,0,False,False,False,31,08082019,59.9552869469,PreComm_Task,683,
3,70,58,83,45,l,12,-13,True,False,False,7.63328504562,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.684442997,False,True,False,83,08082019,59.9552869469,PreComm_Task,683,
4,60,56,63,53,b,4,-3,True,False,False,7.6494281292,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7006111145,True,False,False,53,08082019,59.9552869469,PreComm_Task,683,
5,81,53,94,40,x,28,-13,True,False,False,7.64933609962,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7010910511,False,True,False,94,08082019,59.9552869469,PreComm_Task,683,
6,38,42,47,33,c,4,9,False,False,True,7.64888310432,True,False,False,False,0,0,0.2,0.23,True,False,False,17.0502331257,False,False,True,0,False,False,False,33,08082019,59.9552869469,PreComm_Task,683,
7,69,57,66,60,g,12,3,True,False,False,7.68289995193,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.7336299419,False,True,False,66,08082019,59.9552869469,PreComm_Task,683,
8,62,58,75,45,f,4,-13,True,False,False,7.64944696426,True,False,False,True,0.246237039566,16.4311258793,0.6,0.25,False,True,False,0,False,False,False,0,False,False,False,75,08082019,59.9552869469,PreComm_Task,683,
9,41,69,38,72,t,28,-3,False,True,False,7.64926695824,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7007651329,True,False,False,72,08082019,59.9552869469,PreComm_Task,683,
10,43,39,40,42,a,4,3,False,False,True,7.63320994377,True,False,False,False,0,0,0.5,0.23,True,False,False,17.3349640369,False,False,True,0,False,False,False,42,08082019,59.9552869469,PreComm_Task,683,
11,42,46,33,55,d,4,-9,False,True,False,7.64857697487,True,False,False,True,0.226180076599,17.010529995,1.2,0.25,False,False,True,0,False,False,False,0,False,False,False,55,08082019,59.9552869469,PreComm_Task,683,
12,38,18,47,9,p,20,-9,True,False,False,7.64959311485,True,False,False,False,0,0,0.4,0.23,True,False,False,17.2511649132,False,False,True,0,False,False,False,9,08082019,59.9552869469,PreComm_Task,683,
13,65,77,78,64,k,12,13,False,False,True,7.6485311985,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6999561787,True,False,False,64,08082019,59.9552869469,PreComm_Task,683,
14,73,45,82,36,v,28,-9,True,False,False,7.68301296234,True,False,False,False,0,0,0.4,0.25,True,False,False,17.3006560802,False,False,True,0,False,False,False,36,08082019,59.9552869469,PreComm_Task,683,
15,36,24,39,21,h,12,-3,True,False,False,7.68253302574,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.7344858646,False,True,False,39,08082019,59.9552869469,PreComm_Task,683,
16,30,58,43,45,w,28,13,False,True,False,7.63273310661,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.6840331554,True,False,False,45,08082019,59.9552869469,PreComm_Task,683,
