TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,60,48,73,35,l,12,-13,True,False,False,7.64774608612,True,False,False,True,0.229197978973,16.5120201111,0.7,0.25,False,True,False,0,False,False,False,0,False,False,False,73,22072019,59.9520304169,PreComm_Task,672,
2,61,81,48,94,r,20,-13,False,True,False,7.65017294884,True,False,False,False,0,0,0.2,0.23,True,False,False,17.0513980389,False,False,True,0,False,False,False,94,22072019,59.9520304169,PreComm_Task,672,
3,65,61,62,64,a,4,3,False,False,True,7.64979791641,True,False,False,True,0.215183019638,16.9995689392,1.2,0.25,False,False,True,0,False,False,False,0,False,False,False,64,22072019,59.9520304169,PreComm_Task,672,
4,27,31,36,22,c,4,9,False,False,True,7.68274283409,True,False,False,True,0.228426933289,16.4459528923,0.6,0.23,False,True,False,0,False,False,False,0,False,False,False,36,22072019,59.9520304169,PreComm_Task,672,
5,38,50,35,53,h,12,-3,False,True,False,7.68364095688,True,False,False,False,0,0,0.8,0.21,True,False,False,17.6685509682,False,True,False,0,False,False,False,35,22072019,59.9520304169,PreComm_Task,672,
6,30,50,33,47,m,20,3,False,True,False,7.63269710541,True,False,False,True,0.220943927765,16.7884919643,1.0,0.23,False,False,True,0,False,False,False,0,False,False,False,47,22072019,59.9520304169,PreComm_Task,672,
7,54,34,45,43,o,20,9,True,False,False,7.65017485619,True,False,False,False,0,0,0.8,0.21,True,False,False,17.6354799271,False,True,False,0,False,False,False,45,22072019,59.9520304169,PreComm_Task,672,
8,40,36,43,33,b,4,-3,True,False,False,7.65009784698,True,False,False,False,0,0,0.4,0.23,True,False,False,17.2516589165,False,True,False,0,False,False,False,43,22072019,59.9520304169,PreComm_Task,672,
9,44,16,53,7,v,28,-9,True,False,False,7.6486890316,True,False,False,True,0.215482950211,16.4985840321,0.7,0.25,False,True,False,0,False,False,False,0,False,False,False,53,22072019,59.9520304169,PreComm_Task,672,
10,15,43,12,46,t,28,-3,False,True,False,7.64965391159,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7008199692,True,False,False,46,22072019,59.9520304169,PreComm_Task,672,
