TrialNumber,OptionA,OptionB,EndA,EndB,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,Play_win_right,Play_win_left,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_left,Play_toolate_right,Play_neverpicked,Precomm_RT,Precomm_right,Precomm_left,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,54,63,16,60,1.01579713821,True,False,False,0,False,False,False,False,True,False,False,False,0,False,False,False,60,22022019,59.9926766752,PreComm_Task,,
2,11,20,52,45,1.01676797867,True,False,False,0,False,False,False,False,True,False,False,False,0,False,False,False,45,22022019,59.9926766752,PreComm_Task,,
3,6,41,28,22,1.01266002655,True,False,False,0,False,False,False,True,False,False,False,False,0,False,False,False,28,22022019,59.9926766752,PreComm_Task,,
