TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,37,36,20,32,17,4,37,32,False,False,True,3.58826422691,True,False,False,0.517437934875,6.65571403503,False,False,0,False,False,False,False,False,0,False,False,False,0,11042019,59.8072162714,PreComm_Task,,
2,35,45,38,48,-3,-3,45,48,False,True,False,3.56155109406,True,False,False,0,0,False,False,7.74738502502,False,True,False,False,False,0,False,False,False,38,11042019,59.8072162714,PreComm_Task,,
3,51,74,12,33,39,41,74,33,False,True,False,3.56235480309,True,False,False,0.517298936844,6.63018679619,False,False,0,False,False,False,False,False,0,False,False,False,33,11042019,59.8072162714,PreComm_Task,,
4,48,49,42,45,6,4,49,45,False,True,False,3.56202697754,False,False,True,0,0,False,False,0,False,False,False,False,False,0,False,False,False,0,11042019,59.8072162714,PreComm_Task,,
