TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,32,39,35,62,-3,-23,39,62,False,True,False,3.56183409691,True,False,False,0.517968893051,6.62940120697,True,False,0,False,False,False,False,False,0,False,False,False,35,05032019,59.8583426692,PreComm_Task,,
2,29,57,55,47,-26,10,57,55,False,False,True,3.56679797173,False,True,False,0,0,False,False,0,False,False,False,False,False,6.61721897125,True,False,False,47,05032019,59.8583426692,PreComm_Task,,
3,60,33,11,43,49,-10,60,43,False,False,True,3.56668496132,True,False,False,0,0,False,False,7.75026607513,True,False,True,False,True,0,False,False,False,43,05032019,59.8583426692,PreComm_Task,,
4,35,42,24,41,11,1,42,41,False,True,False,3.54944491386,True,False,False,0,0,False,False,7.73404288292,True,False,True,False,True,0,False,False,False,41,05032019,59.8583426692,PreComm_Task,,
5,25,50,37,30,-12,20,50,37,False,False,True,3.54926419258,False,False,True,0,0,False,False,0,True,False,False,False,False,0,False,False,False,0,05032019,59.8583426692,PreComm_Task,,
