TrialNumber,OptionA,OptionB,EndA,EndB,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,Play_win_right,Play_win_left,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_left,Play_toolate_right,Play_neverpicked,Precomm_RT,Precomm_right,Precomm_left,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,59,59,42,24,1.01677298546,True,False,False,0.000113964080811,True,False,False,False,False,False,False,False,0,False,False,False,24,22022019,60.1037481156,PreComm_Task,,
2,59,67,44,63,1.01252412796,True,False,False,0,False,False,False,True,False,False,False,False,0,False,False,False,44,22022019,60.1037481156,PreComm_Task,,
3,19,57,9,27,1.01310896873,True,False,False,0,False,False,False,True,False,False,False,False,0,False,False,False,9,22022019,60.1037481156,PreComm_Task,,
