TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,41,37,50,28,dd,4,-9,True,False,False,6.64570689201,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.69753789902,False,True,False,50,24052019,60.4499839302,PreComm_Task,1,
2,35,23,48,10,ll,12,-13,True,False,False,6.62844395638,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.68055891991,True,False,False,10,24052019,60.4499839302,PreComm_Task,1,
3,61,49,64,46,h,12,-3,True,False,False,6.64513301849,True,False,False,True,0.215687990189,15.2989420891,0.5,0.3,False,False,False,0,False,False,False,0,False,False,False,0,24052019,60.4499839302,PreComm_Task,1,
4,30,26,43,13,ff,4,-13,True,False,False,6.63596796989,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.6859369278,False,False,True,0,24052019,60.4499839302,PreComm_Task,1,
5,30,18,27,21,g,12,3,True,False,False,6.65001702309,True,False,False,False,0,0,0.9,0.25,True,False,False,16.76998806,False,True,False,0,False,False,False,27,24052019,60.4499839302,PreComm_Task,1,
6,68,56,77,47,jj,12,-9,True,False,False,6.66341114044,False,True,False,0,0,0,0,0.3,0,False,False,0,False,False,False,9.71496319771,False,True,False,77,24052019,60.4499839302,PreComm_Task,1,
7,66,54,57,63,i,12,9,False,False,True,6.66323184967,True,False,False,False,0,0,0.5,0.3,True,False,False,16.4350488186,False,True,False,0,False,False,False,57,24052019,60.4499839302,PreComm_Task,1,
8,22,18,25,15,bb,4,-3,True,False,False,6.63017392159,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.68082880974,False,True,False,25,24052019,60.4499839302,PreComm_Task,1,
9,37,25,24,38,k,12,13,False,False,True,6.6305680275,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.68086481094,True,False,False,38,24052019,60.4499839302,PreComm_Task,1,
10,51,47,38,60,ee,4,13,False,False,True,6.63162088394,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.68254590034,False,True,False,38,24052019,60.4499839302,PreComm_Task,1,
11,42,30,45,27,hhh,12,-3,True,False,False,6.6470041275,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.6990339756,False,False,True,0,24052019,60.4499839302,PreComm_Task,1,
12,33,21,30,24,gg,12,3,True,False,False,6.63032102585,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.68149209023,False,True,False,30,24052019,60.4499839302,PreComm_Task,1,
13,60,48,73,35,l,12,-13,True,False,False,6.63031792641,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.68150401115,False,False,True,0,24052019,60.4499839302,PreComm_Task,1,
14,60,56,69,47,ddd,4,-9,True,False,False,6.66207289696,False,True,False,0,0,0,0,0.35,0,False,False,0,False,False,False,9.71521782875,False,False,True,0,24052019,60.4499839302,PreComm_Task,1,
15,50,38,47,41,ggg,12,3,True,False,False,6.68104791641,True,False,False,True,0.24757194519,15.2642998695,0.4,0.35,False,True,False,0,False,False,False,0,False,False,False,47,24052019,60.4499839302,PreComm_Task,1,
16,27,15,40,2,lll,12,-13,True,False,False,6.63004803658,True,False,False,True,0.283665180206,15.2516069412,0.4,0.3,False,True,False,0,False,False,False,0,False,False,False,40,24052019,60.4499839302,PreComm_Task,1,
17,41,29,32,38,iii,12,9,False,False,True,6.62950491905,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.68223595619,False,True,False,32,24052019,60.4499839302,PreComm_Task,1,
18,17,13,30,0,f,4,-13,True,False,False,6.64579892159,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.6979970932,True,False,False,0,24052019,60.4499839302,PreComm_Task,1,
19,22,18,13,27,cc,4,9,False,False,True,6.63017010689,True,False,False,True,0.215134859085,15.0829951763,0.3,0.25,False,False,True,0,False,False,False,0,False,False,False,27,24052019,60.4499839302,PreComm_Task,1,
20,55,51,46,60,c,4,9,False,False,True,6.63128089905,False,True,False,0,0,0,0,0.2,0,False,False,0,False,False,False,9.6821949482,False,True,False,46,24052019,60.4499839302,PreComm_Task,1,
21,54,50,51,53,aa,4,3,False,False,True,6.62891697884,True,False,False,False,0,0,1.1,0.2,True,False,False,16.9163849354,False,False,True,0,False,False,False,53,24052019,60.4499839302,PreComm_Task,1,
22,44,40,57,27,fff,4,-13,True,False,False,6.66285991669,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.71560406685,True,False,False,27,24052019,60.4499839302,PreComm_Task,1,
23,48,44,51,41,bbb,4,-3,True,False,False,6.66229200363,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.71293902397,False,False,True,0,24052019,60.4499839302,PreComm_Task,1,
24,17,13,8,22,ccc,4,9,False,False,True,6.66377210617,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.71482014656,True,False,False,22,24052019,60.4499839302,PreComm_Task,1,
25,33,21,24,30,ii,12,9,False,False,True,6.64585494995,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.69817996025,False,False,True,0,24052019,60.4499839302,PreComm_Task,1,
26,37,33,24,46,eee,4,13,False,False,True,6.66725611687,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,9.71944999695,False,True,False,24,24052019,60.4499839302,PreComm_Task,1,
27,26,22,23,25,aaa,4,3,False,False,True,6.66460204124,False,False,True,0,0,0,0,0.25,0,False,False,0,False,False,False,0,False,True,False,0,24052019,60.4499839302,PreComm_Task,1,
