TrialNumber,OptionA,OptionB,EndA,EndB,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Press_hit,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,34,58,17,80,6.75070595741,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.8011739254,True,False,False,80,29042019,60.0113890328,PreComm_Task,,
2,61,56,45,71,6.66588807106,True,False,False,0,0,False,True,False,False,16.1334879398,False,False,True,False,False,0,False,False,False,71,29042019,60.0113890328,PreComm_Task,,
3,21,77,-2,99,6.68315005302,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73357701302,False,True,False,-2,29042019,60.0113890328,PreComm_Task,,
