TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,59,61,35,49,24,12,61,49,False,True,False,3.56227517128,True,False,False,0,0,False,False,7.74720215797,True,True,False,False,True,0,False,False,False,35,06032019,60.285335656,PreComm_Task,,
2,16,59,53,61,-37,-2,59,61,False,True,False,3.54640984535,False,False,True,0,0,False,False,0,True,False,False,False,False,0,False,False,False,0,06032019,60.285335656,PreComm_Task,,
3,15,25,42,61,-27,-36,25,61,False,True,False,3.55047893524,False,True,False,0,0,False,False,0,False,False,False,False,False,6.60269784927,False,False,True,0,06032019,60.285335656,PreComm_Task,,
