TrialNumber,OptionA,OptionB,EndA,EndB,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Press_hit,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,63,75,60,78,-12,3,False,True,False,6.71590399742,True,False,False,0,0,False,True,False,False,16.5842080116,False,False,True,False,False,0,False,False,False,78,01052019,59.9844400714,PreComm_Task,02,
2,77,81,64,94,-4,13,False,True,False,6.66574907303,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71634197235,True,False,False,94,01052019,59.9844400714,PreComm_Task,02,
3,78,50,65,63,28,13,True,False,False,6.64843201637,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69884896278,False,True,False,65,01052019,59.9844400714,PreComm_Task,02,
4,54,50,41,63,4,13,False,False,True,6.66531181335,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71584582329,True,False,False,63,01052019,59.9844400714,PreComm_Task,02,
5,26,54,17,63,-28,9,False,True,False,6.71598005295,True,False,False,0,0,False,True,False,False,16.2340500355,False,True,False,False,False,0,False,False,False,17,01052019,59.9844400714,PreComm_Task,02,
6,63,75,50,88,-12,13,False,True,False,6.64911222458,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69939613342,False,True,False,50,01052019,59.9844400714,PreComm_Task,02,
7,74,46,61,59,28,13,True,False,False,6.63450717926,True,False,False,0.231049060822,15.4973521233,True,False,False,False,0,False,False,False,False,False,0,False,False,False,61,01052019,59.9844400714,PreComm_Task,02,
8,94,82,91,85,12,3,True,False,False,6.66474699974,True,False,False,0.247191905975,15.7471718788,True,False,False,False,0,False,False,False,False,False,0,False,False,False,91,01052019,59.9844400714,PreComm_Task,02,
9,35,63,32,66,-28,3,False,True,False,6.68224692345,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73292803764,True,False,False,66,01052019,59.9844400714,PreComm_Task,02,
10,74,46,61,59,28,13,True,False,False,6.64826917648,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69878315926,False,True,False,61,01052019,59.9844400714,PreComm_Task,02,
11,77,73,74,76,4,3,False,False,True,6.63231992722,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,False,True,False,0,01052019,59.9844400714,PreComm_Task,02,
12,82,62,69,75,20,13,False,False,True,6.69892787933,True,False,False,0,0,False,True,False,False,16.5663239956,False,False,True,False,False,0,False,False,False,75,01052019,59.9844400714,PreComm_Task,02,
13,22,42,19,45,-20,3,False,True,False,6.64854288101,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69935393333,True,False,False,45,01052019,59.9844400714,PreComm_Task,02,
14,40,44,27,57,-4,13,False,True,False,6.64896392822,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69975495338,False,True,False,27,01052019,59.9844400714,PreComm_Task,02,
15,42,70,29,83,-28,13,False,True,False,6.64799785614,True,False,False,0.265707969666,15.1482908726,True,False,False,False,0,False,False,False,False,False,0,False,False,False,83,01052019,59.9844400714,PreComm_Task,02,
16,49,77,36,90,-28,13,False,True,False,6.63263511658,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68367815018,False,False,True,0,01052019,59.9844400714,PreComm_Task,02,
17,65,85,56,94,-20,9,False,True,False,6.66624689102,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.7167828083,True,False,False,94,01052019,59.9844400714,PreComm_Task,02,
18,34,46,31,49,-12,3,False,True,False,6.64874505997,True,False,False,0,0,False,True,False,False,16.1167941093,False,True,False,False,False,0,False,False,False,31,01052019,59.9844400714,PreComm_Task,02,
19,42,54,39,57,-12,3,False,True,False,6.68235397339,True,False,False,0.281286001205,16.0974068642,True,False,False,False,0,False,False,False,False,False,0,False,False,False,57,01052019,59.9844400714,PreComm_Task,02,
20,64,52,55,61,12,9,False,False,True,6.68304800987,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73393511772,False,True,False,55,01052019,59.9844400714,PreComm_Task,02,
