TrialNumber,OptionA,OptionB,EndA,EndB,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Press_hit,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,83,55,80,58,28,3,True,False,False,6.66274881363,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71301102638,False,True,False,80,01052019,59.5905400836,PreComm_Task,03,
2,113,85,104,94,28,9,True,False,False,6.64800715446,True,False,False,0.270493984222,15.7538671494,True,False,False,False,0,False,False,False,False,False,0,False,False,False,104,01052019,59.5905400836,PreComm_Task,03,
3,38,42,29,51,-4,9,False,True,False,6.67965197563,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73082399368,True,False,False,51,01052019,59.5905400836,PreComm_Task,03,
4,58,62,55,65,-4,3,False,True,False,6.62919020653,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.67924118042,True,False,False,65,01052019,59.5905400836,PreComm_Task,03,
5,73,77,70,80,-4,3,False,True,False,6.64788198471,True,False,False,0,0,False,True,False,False,16.2675099373,False,True,False,False,False,0,False,False,False,70,01052019,59.5905400836,PreComm_Task,03,
6,85,57,72,70,28,13,True,False,False,6.68100094795,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73131299019,True,False,False,70,01052019,59.5905400836,PreComm_Task,03,
7,64,76,55,85,-12,9,False,True,False,6.68163990974,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.73287391663,True,False,False,85,01052019,59.5905400836,PreComm_Task,03,
8,47,67,38,76,-20,9,False,True,False,6.64649987221,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69960284233,True,False,False,76,01052019,59.5905400836,PreComm_Task,03,
9,96,76,87,85,20,9,True,False,False,6.61184310913,True,False,False,0.257034063339,15.2060379982,True,False,False,False,0,False,False,False,False,False,0,False,False,False,87,01052019,59.5905400836,PreComm_Task,03,
10,82,62,69,75,20,13,False,False,True,6.64830589294,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.6997449398,True,False,False,75,01052019,59.5905400836,PreComm_Task,03,
11,59,79,50,88,-20,9,False,True,False,6.66455888748,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.71521186829,True,False,False,88,01052019,59.5905400836,PreComm_Task,03,
12,35,55,22,68,-20,13,False,True,False,6.645373106,True,False,False,0,0,False,True,False,False,16.9654779434,False,True,False,False,False,0,False,False,False,22,01052019,59.5905400836,PreComm_Task,03,
13,63,67,54,76,-4,9,False,True,False,6.62856483459,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.68106794357,True,False,False,76,01052019,59.5905400836,PreComm_Task,03,
14,64,60,61,63,4,3,False,False,True,6.64554095268,True,False,False,0.215736865997,15.1992828846,True,False,False,False,0,False,False,False,False,False,0,False,False,False,63,01052019,59.5905400836,PreComm_Task,03,
15,68,72,55,85,-4,13,False,True,False,6.64731216431,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69764709473,False,True,False,55,01052019,59.5905400836,PreComm_Task,03,
16,108,80,99,89,28,9,True,False,False,6.68091201782,True,False,False,0,0,False,True,False,False,16.600137949,False,False,True,False,False,0,False,False,False,89,01052019,59.5905400836,PreComm_Task,03,
17,53,57,40,70,-4,13,False,True,False,6.64578080177,True,False,False,0.271836996078,15.8545539379,True,False,False,False,0,False,False,False,False,False,0,False,False,False,70,01052019,59.5905400836,PreComm_Task,03,
18,39,67,26,80,-28,13,False,True,False,6.63534593582,True,False,False,0,0,False,True,False,False,16.2521870136,False,True,False,False,True,0,False,False,False,26,01052019,59.5905400836,PreComm_Task,03,
19,19,47,10,56,-28,9,False,True,False,6.61292505264,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.6644411087,False,True,False,10,01052019,59.5905400836,PreComm_Task,03,
20,104,76,95,85,28,9,True,False,False,6.6478638649,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,9.69879198074,False,True,False,95,01052019,59.5905400836,PreComm_Task,03,
