TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,13,21,40,45,-27,-24,21,45,False,True,False,1.01618099213,True,False,False,0.000121831893921,True,False,0.000120162963867,False,False,False,False,False,0,False,False,False,40,25022019,59.7771275709,PreComm_Task,,
2,21,30,58,71,-37,-41,30,71,False,True,False,1.01582288742,False,True,False,0,False,False,0,False,False,False,False,False,0.000169038772583,True,False,False,71,25022019,59.7771275709,PreComm_Task,,
3,63,55,41,19,22,36,63,41,True,False,False,1.01710915565,True,False,False,0.0918478965759,True,False,0.000118017196655,False,False,False,False,False,0,False,False,False,41,25022019,59.7771275709,PreComm_Task,,
