TrialNumber,OptionA,OptionB,EndA,EndB,A_difference,B_difference,largest_option,largest_end,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Play,Choice_Pick,Choice_Miss,Play_RT,RT_trialClock_play,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Play_toolate_B,Play_toolate_A,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
1,20,52,28,18,-8,34,52,28,False,False,True,3.57589101791,False,False,False,0,0,False,False,0,False,False,False,False,False,6.62648010254,True,False,False,18,12042019,59.7792575025,PreComm_Task,,
2,22,33,26,30,-4,3,33,30,False,True,False,3.56583786011,False,False,False,0.515758037567,13.8160197735,False,False,0,False,False,False,False,False,0,False,False,False,0,12042019,59.7792575025,PreComm_Task,,
3,21,29,14,15,7,14,29,15,False,True,False,3.56566786766,False,False,True,0,0,False,False,0,False,False,False,False,False,0,False,False,False,0,12042019,59.7792575025,PreComm_Task,,
