thisRow.t,notes,TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
,,1,NA,53,73,66,60,17,20,-13,4.707480666227639,False,True,False,0,0,0,0,0.65,0,False,False,0,False,False,False,6.76150962524116,False,True,False,66,xxx,26012024,PreComm_Task,60.03471500631448,
,,2,NA,50,46,63,33,0,4,13,4.95960016688332,True,False,False,False,0,0,0.6,0.65,True,False,False,15.492137708701193,False,False,True,0,False,False,False,33,xxx,26012024,PreComm_Task,60.03471500631448,
