TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,27,8,21,14,23,19,-6,6.308481873999995,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.648129589000007,True,False,False,14,1010,07072021,PreComm_Task,None,
2,Stable,26,13,23,16,16,13,-3,6.051483640000015,True,False,False,True,0.5427047659999857,15.001996582000004,0.4,0.8,False,True,False,0,False,False,False,0,False,False,False,23,1010,07072021,PreComm_Task,None,
3,Stable,63,76,64,75,15,13,-1,5.23252113700002,True,False,False,True,0.5062177150000196,14.634275438000003,0.9,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,75,1010,07072021,PreComm_Task,None,
4,Stable,7,6,13,0,0,1,6,5.362656235000003,True,False,False,True,0.46193684400000734,14.813729572,1.0,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,13,1010,07072021,PreComm_Task,None,
5,Stable,45,58,44,59,14,13,1,6.014310492999982,True,False,False,False,0,0,0.7,0.5000000000000001,True,False,False,16.275829698999985,False,True,False,0,False,False,False,44,1010,07072021,PreComm_Task,None,
6,Stable,55,62,61,56,11,7,-6,6.125696242999993,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.62590198099997,True,False,False,56,1010,07072021,PreComm_Task,None,
7,Stable,40,21,46,15,18,19,6,5.723431225000013,True,False,False,True,0.4934329689999686,15.024936877000016,0.8,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,46,1010,07072021,PreComm_Task,None,
8,Stable,57,38,54,41,22,19,-3,5.926768748000029,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,7.816377274000047,False,True,False,54,1010,07072021,PreComm_Task,None,
9,Stable,27,34,28,33,9,7,-1,5.9929903620000005,True,False,False,False,0,0,0.8,0.5000000000000001,True,False,False,16.38545922000003,False,False,True,0,False,False,False,33,1010,07072021,PreComm_Task,None,
10,Stable,46,59,52,53,17,13,-6,5.81720530299998,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.115685240000005,False,True,False,52,1010,07072021,PreComm_Task,None,
11,Stable,56,49,57,48,8,7,1,5.9832120080000095,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.037034337000023,False,True,False,57,1010,07072021,PreComm_Task,None,
12,Stable,69,56,72,53,13,13,3,6.588179817999958,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.037793252999961,False,True,False,72,1010,07072021,PreComm_Task,None,
13,Stable,16,23,13,26,7,7,3,6.124752640000054,True,False,False,False,0,0,0.9,0.6000000000000001,True,False,False,16.664767896,False,True,False,0,False,False,False,13,1010,07072021,PreComm_Task,None,
14,Stable,17,10,14,13,10,7,-3,5.617488787000013,True,False,False,True,0.47552200100000164,14.668737047000036,0.6,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,14,1010,07072021,PreComm_Task,None,
15,Stable,59,60,58,61,2,1,1,6.160118614999988,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.659751018000009,True,False,False,61,1010,07072021,PreComm_Task,None,
16,Stable,77,58,78,57,20,19,1,6.61110206799998,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.061714010999992,False,True,False,78,1010,07072021,PreComm_Task,None,
17,Stable,65,84,62,87,19,19,3,6.27395838800004,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.672401917999991,True,False,False,87,1010,07072021,PreComm_Task,None,
18,Stable,68,67,67,68,3,1,-1,6.355613501999983,True,False,False,True,0.4981007160000104,15.856006193999974,1.0,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,68,1010,07072021,PreComm_Task,None,
19,Stable,48,49,51,46,4,1,-3,6.506550541000024,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.056220528999972,True,False,False,46,1010,07072021,PreComm_Task,None,
20,Stable,46,59,40,65,12,13,6,6.402018164000026,True,False,False,True,0.4917112370000041,15.703236199000003,0.8,0.5000000000000001,False,False,True,0,False,False,False,0,False,False,False,65,1010,07072021,PreComm_Task,None,
21,Stable,53,72,54,71,21,19,-1,7.154745848000061,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,9.555380317000072,True,False,False,71,1010,07072021,PreComm_Task,None,
22,Stable,47,46,50,43,1,1,3,5.900265626999953,True,False,False,False,0,0,0.2,0.40000000000000013,True,False,False,15.553332847999968,False,True,False,0,False,False,False,50,1010,07072021,PreComm_Task,None,
23,Stable,15,22,9,28,6,7,6,5.65774442299994,True,False,False,True,0.42681624500005455,15.007105804999924,0.9,0.5000000000000001,False,False,True,0,False,False,False,0,False,False,False,28,1010,07072021,PreComm_Task,None,
24,Stable,35,34,29,40,5,1,-6,6.37464598400004,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,8.774309416000051,False,True,False,29,1010,07072021,PreComm_Task,None,
25,Stable,62,75,63,74,15,13,-1,6.873508381000079,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,9.02278310700001,True,False,False,74,1010,07072021,PreComm_Task,None,
26,Stable,69,50,72,47,19,19,3,6.103394461999983,True,False,False,False,0,0,0.8,0.40000000000000013,True,False,False,16.356056175999925,False,True,False,0,False,False,False,72,1010,07072021,PreComm_Task,None,
27,Stable,27,40,26,41,14,13,1,6.1497570629999245,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.650688252999998,True,False,False,41,1010,07072021,PreComm_Task,None,
28,Stable,22,23,21,24,2,1,1,6.5560984210000015,True,False,False,True,0.4480576469999278,15.205667293000033,0.2,0.5000000000000001,False,False,True,0,False,False,False,0,False,False,False,24,1010,07072021,PreComm_Task,None,
29,Stable,23,42,29,36,23,19,-6,6.380562338999994,True,False,False,False,0,0,0.2,0.40000000000000013,True,False,False,16.034894944999905,False,False,True,0,False,False,False,36,1010,07072021,PreComm_Task,None,
30,Stable,32,39,38,33,11,7,-6,5.791906400000016,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.691557567000018,True,False,False,33,1010,07072021,PreComm_Task,None,
31,Stable,61,42,60,43,21,19,-1,6.7043376980000176,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.10288364400003,False,True,False,60,1010,07072021,PreComm_Task,None,
32,Stable,68,61,74,55,6,7,6,6.2158717269999215,True,False,False,True,0.5017007609999382,15.521883887999934,0.8,0.5000000000000001,False,True,False,0,False,False,False,0,False,False,False,74,1010,07072021,PreComm_Task,None,
33,Stable,49,68,43,74,18,19,6,6.358998673999963,True,False,False,False,0,0,0.5,0.40000000000000013,True,False,False,16.32948397100006,False,True,False,0,False,False,False,43,1010,07072021,PreComm_Task,None,
34,Stable,55,42,52,45,16,13,-3,6.635901639000053,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.735407620000046,False,True,False,52,1010,07072021,PreComm_Task,None,
35,Stable,58,51,61,48,7,7,3,6.21279886100001,True,False,False,True,0.4987417979999691,15.412820131999979,0.7,0.5000000000000001,False,True,False,0,False,False,False,0,False,False,False,61,1010,07072021,PreComm_Task,None,
36,Stable,44,45,38,51,0,1,6,6.112675228000057,True,False,False,False,0,0,0.4,0.40000000000000013,True,False,False,15.951403034999998,False,False,True,0,False,False,False,51,1010,07072021,PreComm_Task,None,
37,Stable,16,35,19,32,22,19,-3,6.552909170000021,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.004043410999998,True,False,False,32,1010,07072021,PreComm_Task,None,
38,Stable,57,64,58,63,9,7,-1,6.313173089999964,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.61278358200002,True,False,False,63,1010,07072021,PreComm_Task,None,
39,Stable,72,53,73,52,20,19,1,6.502548867999963,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.90204883299998,False,True,False,73,1010,07072021,PreComm_Task,None,
40,Stable,72,59,78,53,12,13,6,6.271607370999959,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.720433833000016,False,True,False,78,1010,07072021,PreComm_Task,None,
41,Stable,16,15,13,18,4,1,-3,6.223830992999979,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.773876206000068,False,True,False,13,1010,07072021,PreComm_Task,None,
42,Stable,13,20,16,17,10,7,-3,5.549298513000053,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,7.6489971900000455,True,False,False,17,1010,07072021,PreComm_Task,None,
43,Stable,24,25,21,28,1,1,3,6.27975552700002,True,False,False,True,0.41194949700002326,14.980518974000006,0.3,0.5000000000000001,False,False,True,0,False,False,False,0,False,False,False,28,1010,07072021,PreComm_Task,None,
