TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,28,35,27,36,8,7,1,8.097128282,True,False,False,True,0.6917856199999903,17.499728059000006,0.8,0.8,False,False,True,0,False,False,False,0,False,False,False,36,1097,25082021,PreComm_Task,None,
2,Stable,7,6,4,9,4,1,-3,6.79185630500001,True,False,False,False,0,0,1.0,0.7000000000000001,True,False,False,17.43456894099998,False,True,False,0,False,False,False,4,1097,25082021,PreComm_Task,None,
3,Stable,60,47,66,41,12,13,6,5.918697822999945,True,False,False,True,0.6474722579999934,15.369653626000002,0.9,0.8,False,True,False,0,False,False,False,0,False,False,False,66,1097,25082021,PreComm_Task,None,
4,Stable,49,42,48,43,9,7,-1,5.648172651999971,True,False,False,False,0,0,0.3,0.7000000000000001,True,False,False,15.592729726000016,False,True,False,0,False,False,False,48,1097,25082021,PreComm_Task,None,
5,Stable,49,36,46,39,16,13,-3,6.512430627000015,True,False,False,True,0.7030661969999983,16.115552477999984,1.0,0.8,False,True,False,0,False,False,False,0,False,False,False,46,1097,25082021,PreComm_Task,None,
6,Stable,54,53,53,54,3,1,-1,6.942523138000013,True,False,False,False,0,0,1.0,0.7000000000000001,True,False,False,17.584913501000017,False,False,True,0,False,False,False,54,1097,25082021,PreComm_Task,None,
7,Stable,84,71,87,68,13,13,3,7.8776098920000095,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,11.02701910899998,False,True,False,87,1097,25082021,PreComm_Task,None,
8,Stable,40,59,43,56,22,19,-3,7.466281137999999,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,10.167285585999991,True,False,False,56,1097,25082021,PreComm_Task,None,
9,Stable,37,36,38,35,2,1,1,5.996728630000007,True,False,False,True,0.6962662540000224,15.297930421999979,0.7,0.8,False,True,False,0,False,False,False,0,False,False,False,38,1097,25082021,PreComm_Task,None,
10,Stable,44,43,38,49,5,1,-6,6.030397651000044,True,False,False,False,0,0,0.2,0.7000000000000001,True,False,False,15.869941501000028,False,True,False,0,False,False,False,38,1097,25082021,PreComm_Task,None,
11,Stable,34,27,28,33,11,7,-6,5.966788532999999,True,False,False,True,0.6871379349999529,15.167309251000006,0.6,0.8,False,False,True,0,False,False,False,0,False,False,False,33,1097,25082021,PreComm_Task,None,
12,Stable,73,92,70,95,19,19,3,6.5485163259999695,True,False,False,True,0.6866999480000118,15.348527582999964,0.2,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,95,1097,25082021,PreComm_Task,None,
13,Stable,60,67,54,73,6,7,6,5.646538516000021,True,False,False,False,0,0,0.2,0.6000000000000001,True,False,False,15.379757353000002,False,True,False,0,False,False,False,54,1097,25082021,PreComm_Task,None,
14,Stable,72,59,66,65,17,13,-6,5.380471913000008,True,False,False,False,0,0,0.5,0.7000000000000001,True,False,False,15.521214619999967,False,False,True,0,False,False,False,65,1097,25082021,PreComm_Task,None,
15,Stable,15,8,18,5,7,7,3,6.067748092999977,True,False,False,True,0.8006844239999964,15.168206154000018,0.4,0.8,False,True,False,0,False,False,False,0,False,False,False,18,1097,25082021,PreComm_Task,None,
16,Stable,32,25,29,28,10,7,-3,5.989291942000023,True,False,False,True,0.6508260670000254,14.940427273999944,0.4,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,29,1097,25082021,PreComm_Task,None,
17,Stable,43,62,49,56,23,19,-6,6.395469346000027,True,False,False,False,0,0,1.0,0.6000000000000001,True,False,False,16.934474472000034,False,True,False,0,False,False,False,49,1097,25082021,PreComm_Task,None,
18,Stable,33,14,39,8,18,19,6,5.769528816000047,True,False,False,False,0,0,0.7,0.7000000000000001,True,False,False,16.10813366800005,False,False,True,0,False,False,False,8,1097,25082021,PreComm_Task,None,
19,Stable,57,58,54,61,1,1,3,4.466981536000048,True,False,False,True,0.6492064050000863,13.517020480000042,0.5,0.8,False,False,True,0,False,False,False,0,False,False,False,61,1097,25082021,PreComm_Task,None,
20,Stable,63,50,62,51,15,13,-1,6.091276590000007,True,False,False,False,0,0,1.0,0.7000000000000001,True,False,False,16.715366789000086,False,True,False,0,False,False,False,62,1097,25082021,PreComm_Task,None,
21,Stable,41,54,40,55,14,13,1,6.244983252999987,True,False,False,True,0.6868585290000055,15.045138184999928,0.2,0.8,False,False,True,0,False,False,False,0,False,False,False,55,1097,25082021,PreComm_Task,None,
22,Stable,25,26,19,32,0,1,6,5.193413825999983,True,False,False,True,0.6499270309999474,14.742459617999998,1.0,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,32,1097,25082021,PreComm_Task,None,
23,Stable,56,75,57,74,21,19,-1,5.645624331000022,True,False,False,False,0,0,0.8,0.6000000000000001,True,False,False,15.978028988000005,False,True,False,0,False,False,False,57,1097,25082021,PreComm_Task,None,
24,Stable,38,19,39,18,20,19,1,6.634465556999999,True,False,False,True,0.6472291569999697,15.485989247999896,0.3,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,39,1097,25082021,PreComm_Task,None,
25,Stable,56,63,53,66,7,7,3,5.691405529000008,True,False,False,False,0,0,0.4,0.6000000000000001,True,False,False,15.633663776000049,False,True,False,0,False,False,False,53,1097,25082021,PreComm_Task,None,
26,Stable,74,93,77,90,22,19,-3,7.874966965999988,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,12.22522350099996,True,False,False,90,1097,25082021,PreComm_Task,None,
27,Stable,56,55,57,54,2,1,1,6.340004735999969,True,False,False,False,0,0,0.7,0.7000000000000001,True,False,False,16.676374452000005,False,False,True,0,False,False,False,54,1097,25082021,PreComm_Task,None,
28,Stable,21,34,24,31,16,13,-3,6.073506280999936,True,False,False,True,0.7127471840000226,14.873705456999915,0.2,0.8,False,False,True,0,False,False,False,0,False,False,False,31,1097,25082021,PreComm_Task,None,
29,Stable,49,50,52,47,4,1,-3,5.841254987999946,True,False,False,True,0.6487220650000154,15.291276038999968,0.9,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,52,1097,25082021,PreComm_Task,None,
30,Stable,21,8,15,14,17,13,-6,6.532785806000106,True,False,False,False,0,0,0.4,0.6000000000000001,True,False,False,16.485143709,False,False,True,0,False,False,False,14,1097,25082021,PreComm_Task,None,
