TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Volatile,55,56,39,72,0,1,16,6.40469330599808,True,False,False,True,0.7907348589978938,15.899419786997896,0.8,0.8,False,False,True,0,False,False,False,0,False,False,False,72,1103,30082021,PreComm_Task,None,
2,Volatile,57,44,41,60,17,13,-16,5.091586962000292,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,7.440821232001326,False,True,False,41,1103,30082021,PreComm_Task,None,
3,Volatile,32,19,19,32,16,13,-13,5.2173876100023335,True,False,False,False,0,0,0.3,0.7000000000000001,True,False,False,15.150347832000989,False,True,False,0,False,False,False,19,1103,30082021,PreComm_Task,None,
4,Volatile,47,54,63,38,11,7,-16,5.833769631000905,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.232865962003416,False,True,False,63,1103,30082021,PreComm_Task,None,
5,Volatile,59,66,43,82,6,7,16,5.721178220999718,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.12090594899928,False,True,False,43,1103,30082021,PreComm_Task,None,
6,Volatile,52,53,39,66,1,1,13,5.223233115000767,True,False,False,True,0.674938090996875,14.723606100000325,0.9,0.8,False,False,True,0,False,False,False,0,False,False,False,66,1103,30082021,PreComm_Task,None,
7,Volatile,49,36,38,47,15,13,-11,5.050660795001022,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.50026464399707,True,False,False,47,1103,30082021,PreComm_Task,None,
8,Volatile,66,47,50,63,23,19,-16,5.294550678998348,True,False,False,True,0.6998729859988089,14.595408455003053,0.7,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,63,1103,30082021,PreComm_Task,None,
9,Volatile,57,56,44,69,4,1,-13,5.399238878999313,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.45050312999956,True,False,False,69,1103,30082021,PreComm_Task,None,
10,Volatile,70,63,57,76,10,7,-13,5.341175671004748,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,7.54080980400613,True,False,False,76,1103,30082021,PreComm_Task,None,
