TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,46,33,43,36,16,13,-3,6.71837775899985,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,10.297864094000033,False,True,False,43,1037,27072021,PreComm_Task,None,
2,Stable,24,23,18,29,5,1,-6,5.948693660000117,True,False,False,False,0,0,0.7,0.8,True,False,False,16.47890875100029,False,True,False,0,False,False,False,18,1037,27072021,PreComm_Task,None,
3,Stable,19,6,22,3,13,13,3,6.012719268000183,True,False,False,True,0.8562383299999965,15.664562927000134,0.8,0.9,False,True,False,0,False,False,False,0,False,False,False,22,1037,27072021,PreComm_Task,None,
4,Stable,23,24,22,25,2,1,1,5.8228026250003495,True,False,False,False,0,0,1.0,0.8,True,False,False,16.686830269999973,False,False,True,0,False,False,False,25,1037,27072021,PreComm_Task,None,
5,Stable,56,55,53,58,4,1,-3,5.596027862000028,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,9.095293317000142,True,False,False,58,1037,27072021,PreComm_Task,None,
6,Stable,36,55,42,49,23,19,-6,6.697681238999849,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,9.246118848000151,False,True,False,42,1037,27072021,PreComm_Task,None,
7,Stable,57,58,54,61,1,1,3,6.423164707000069,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,8.372529148000012,False,True,False,54,1037,27072021,PreComm_Task,None,
8,Stable,52,71,55,68,22,19,-3,6.835039383000094,True,False,False,True,0.7678184950000286,15.836581853000098,0.2,0.9,False,False,True,0,False,False,False,0,False,False,False,68,1037,27072021,PreComm_Task,None,
9,Stable,7,14,4,17,7,7,3,5.761917427000299,True,False,False,False,0,0,0.3,0.8,True,False,False,15.902536517000044,False,False,True,0,False,False,False,17,1037,27072021,PreComm_Task,None,
10,Stable,24,31,30,25,11,7,-6,6.997146609000083,True,False,False,True,0.8042105310000807,16.697301211000195,0.9,0.9,False,True,False,0,False,False,False,0,False,False,False,30,1037,27072021,PreComm_Task,None,
