TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Volatile,42,43,29,56,1,1,13,6.454661597999800,TRUE,FALSE,FALSE,TRUE,0.5247334110026710,15.399898295996500,0.5,0.8,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,56,1124,13092021,PreComm_Task,None,
2,Volatile,33,20,22,31,15,13,-11,5.848185878996450,TRUE,FALSE,FALSE,TRUE,0.4843911629941430,14.6483007719944,0.4,0.7000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,31,1124,13092021,PreComm_Task,None,
3,Volatile,35,22,19,38,17,13,-16,7.502262966998390,TRUE,FALSE,FALSE,TRUE,0.478009958002076,16.60219876899650,0.7,0.6000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,38,1124,13092021,PreComm_Task,None,
4,Volatile,37,18,50,5,19,19,13,5.18592078799702,TRUE,FALSE,FALSE,FALSE,0,0,0.4,0.5000000000000000,TRUE,FALSE,FALSE,15.02664658199500,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,5,1124,13092021,PreComm_Task,None,
5,Volatile,81,62,97,46,18,19,16,5.876861055003250,TRUE,FALSE,FALSE,TRUE,0.45003679799992800,14.427621412003600,0.2,0.6000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,97,1124,13092021,PreComm_Task,None,
6,Volatile,42,49,31,60,8,7,11,5.5017724450008200,TRUE,FALSE,FALSE,TRUE,0.478419576997112,14.300985751004200,0.4,0.5000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,60,1124,13092021,PreComm_Task,None,
7,Volatile,55,48,44,59,9,7,-11,6.144512307000700,TRUE,FALSE,FALSE,FALSE,0,0,0.6,0.40000000000000000,TRUE,FALSE,FALSE,16.085057200005400,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,59,1124,13092021,PreComm_Task,None,
8,Volatile,49,56,33,72,6,7,16,5.917727077001470,TRUE,FALSE,FALSE,TRUE,0.49650643699715100,14.718934464006500,0.4,0.5000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,72,1124,13092021,PreComm_Task,None,
9,Volatile,28,29,39,18,3,1,-11,7.14734421299363,TRUE,FALSE,FALSE,TRUE,0.21711044199764700,15.967902723998100,0.7,0.40000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,39,1124,13092021,PreComm_Task,None,
10,Volatile,43,30,56,17,13,13,13,5.851475955998470,TRUE,FALSE,FALSE,TRUE,0.21625149099418200,14.788488448997700,0.8,0.30000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,56,1124,13092021,PreComm_Task,None,
11,Volatile,69,50,80,39,20,19,11,5.492178075997800,TRUE,FALSE,FALSE,FALSE,0,0,0.5,0.20000000000000000,TRUE,FALSE,FALSE,15.143815044000800,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,39,1124,13092021,PreComm_Task,None,
12,Volatile,38,57,54,41,23,19,-16,5.262420728002330,TRUE,FALSE,FALSE,TRUE,0.21465407900541300,13.976946990005700,0.6,0.30000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,54,1124,13092021,PreComm_Task,None,
13,Volatile,52,33,39,46,22,19,-13,5.644879602994480,TRUE,FALSE,FALSE,FALSE,0,0,0.6,0.20000000000000000,TRUE,FALSE,FALSE,15.41049271299560,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,39,1124,13092021,PreComm_Task,None,
14,Volatile,53,60,66,47,10,7,-13,6.197470475002770,TRUE,FALSE,FALSE,FALSE,0,0,0.2,0.30000000000000000,TRUE,FALSE,FALSE,15.635385506000600,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,47,1124,13092021,PreComm_Task,None,
15,Volatile,22,21,38,5,0,1,16,5.767311178002270,TRUE,FALSE,FALSE,FALSE,0,0,0.4,0.40000000000000000,TRUE,FALSE,FALSE,15.511539616003600,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,5,1124,13092021,PreComm_Task,None,
16,Volatile,27,46,38,35,21,19,-11,5.7632483650013500,TRUE,FALSE,FALSE,FALSE,0,0,0.8,0.5000000000000000,TRUE,FALSE,FALSE,16.00500178200310,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,38,1124,13092021,PreComm_Task,None,
17,Volatile,23,16,36,3,7,7,13,5.388091138993330,TRUE,FALSE,FALSE,FALSE,0,0,1.0,0.6000000000000000,TRUE,FALSE,FALSE,15.925278202994400,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,3,1124,13092021,PreComm_Task,None,
18,Volatile,52,39,63,28,14,13,11,5.645865445003440,TRUE,FALSE,FALSE,TRUE,0.39227386999846200,14.94616171799860,1.0,0.7000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,63,1124,13092021,PreComm_Task,None,
19,Volatile,24,17,8,33,11,7,-16,5.136103942000770,TRUE,FALSE,FALSE,TRUE,0.45624249200045600,14.08788022200320,0.6,0.6000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,33,1124,13092021,PreComm_Task,None,
20,Volatile,37,50,50,37,16,13,-13,5.538415959999840,TRUE,FALSE,FALSE,FALSE,0,0,0.2,0.5000000000000000,TRUE,FALSE,FALSE,15.17252480499880,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,50,1124,13092021,PreComm_Task,None,
21,Volatile,25,24,36,13,2,1,11,5.681445016001820,TRUE,FALSE,FALSE,TRUE,0.4748412580011060,14.281580991002600,0.2,0.6000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,36,1124,13092021,PreComm_Task,None,
22,Volatile,63,62,47,78,5,1,-16,5.950379340996730,TRUE,FALSE,FALSE,TRUE,0.44125626199820500,14.699246668999000,0.4,0.5000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,78,1124,13092021,PreComm_Task,None,
23,Volatile,38,51,22,67,12,13,16,5.541125718998960,TRUE,FALSE,FALSE,FALSE,0,0,0.5,0.40000000000000000,TRUE,FALSE,FALSE,15.407316181997900,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,67,1124,13092021,PreComm_Task,None,
24,Volatile,62,63,75,50,4,1,-13,5.034446112003930,TRUE,FALSE,FALSE,TRUE,0.44085143900156300,14.285727301001300,0.9,0.5000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,75,1124,13092021,PreComm_Task,None,
25,Volatile,62,81,51,92,20,19,11,5.047644270998720,TRUE,FALSE,FALSE,FALSE,0,0,0.6,0.40000000000000000,TRUE,FALSE,FALSE,14.992956132999100,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,92,1124,13092021,PreComm_Task,None,
26,Volatile,63,50,52,61,15,13,-11,5.263923585000160,TRUE,FALSE,FALSE,TRUE,0.439181326997641,14.113512097996100,0.5,0.5000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,61,1124,13092021,PreComm_Task,None,
27,Volatile,27,46,38,35,21,19,-11,4.997232585003080,TRUE,FALSE,FALSE,FALSE,0,0,0.3,0.40000000000000000,TRUE,FALSE,FALSE,14.649021614001000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,38,1124,13092021,PreComm_Task,None,
28,Volatile,42,43,58,27,5,1,-16,4.922769351003810,TRUE,FALSE,FALSE,TRUE,0.500275717000477,13.723172896003200,0.4,0.5000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,58,1124,13092021,PreComm_Task,None,
