TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,64,71,67,68,10,7,-3,6.205834344000323,True,False,False,True,0.5351913149934262,15.550152397998318,0.9,0.8,False,False,True,0,False,False,False,0,False,False,False,68,1156,22102021,PreComm_Task,None,
2,Stable,62,69,61,70,8,7,1,5.194672179997724,True,False,False,True,0.651890524000919,13.944763035004144,0.2,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,70,1156,22102021,PreComm_Task,None,
3,Stable,62,81,56,87,18,19,6,5.15129268700548,True,False,False,True,0.5849314189981669,14.451449804000731,0.8,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,87,1156,22102021,PreComm_Task,None,
4,Stable,40,39,34,45,5,1,-6,6.186562695998873,True,False,False,False,0,0,0.3,0.5000000000000001,True,False,False,15.923582072995487,False,False,True,0,False,False,False,45,1156,22102021,PreComm_Task,None,
5,Stable,62,81,61,82,20,19,1,5.51717162499699,True,False,False,True,0.5945584159999271,14.417608815994754,0.4,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,82,1156,22102021,PreComm_Task,None,
6,Stable,27,40,26,41,14,13,1,5.940591318998486,True,False,False,False,0,0,0.2,0.5000000000000001,True,False,False,15.57185610599845,False,False,True,0,False,False,False,41,1156,22102021,PreComm_Task,None,
7,Stable,13,32,16,29,22,19,-3,5.332211733002623,True,False,False,False,0,0,0.6,0.6000000000000001,True,False,False,15.469241578000947,False,False,True,0,False,False,False,29,1156,22102021,PreComm_Task,None,
8,Stable,41,42,38,45,1,1,3,5.878442246001214,True,False,False,True,0.5940504199970746,14.677890741004376,0.3,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,45,1156,22102021,PreComm_Task,None,
9,Stable,73,80,79,74,11,7,-6,5.999384571994597,True,False,False,True,0.2155004119995283,15.011840287996165,0.9,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,79,1156,22102021,PreComm_Task,None,
10,Stable,33,20,30,23,16,13,-3,5.394184051001503,True,False,False,False,0,0,0.5,0.5000000000000001,True,False,False,15.328460010998242,False,True,False,0,False,False,False,30,1156,22102021,PreComm_Task,None,
11,Stable,76,69,82,63,6,7,6,5.484802042003139,True,False,False,True,0.5963742300009471,14.686404382999172,0.7,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,82,1156,22102021,PreComm_Task,None,
12,Stable,58,57,57,58,3,1,-1,5.644617117999587,True,False,False,False,0,0,0.9,0.5000000000000001,True,False,False,15.982564056997944,False,False,True,0,False,False,False,58,1156,22102021,PreComm_Task,None,
13,Stable,28,41,22,47,12,13,6,5.270520675003354,True,False,False,True,0.5975739770001383,14.370915316998435,0.6,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,47,1156,22102021,PreComm_Task,None,
14,Stable,29,10,28,11,21,19,-1,5.603320947004249,True,False,False,False,0,0,1.0,0.5000000000000001,True,False,False,16.05026171100326,False,True,False,0,False,False,False,28,1156,22102021,PreComm_Task,None,
15,Stable,10,23,11,22,15,13,-1,5.564173924998613,True,False,False,False,0,0,0.8,0.6000000000000001,True,False,False,15.902562276998651,False,False,True,0,False,False,False,22,1156,22102021,PreComm_Task,None,
16,Stable,66,73,63,76,7,7,3,5.070143218996236,True,False,False,True,0.5415093869960401,14.419901471999765,0.9,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,76,1156,22102021,PreComm_Task,None,
17,Stable,71,84,77,78,17,13,-6,6.094120757996279,True,False,False,False,0,0,0.7,0.6000000000000001,True,False,False,16.335870044997137,False,False,True,0,False,False,False,78,1156,22102021,PreComm_Task,None,
18,Stable,36,35,37,34,2,1,1,6.972546457996941,True,False,False,True,0.6777218190036365,15.77226290499675,0.2,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,37,1156,22102021,PreComm_Task,None,
19,Stable,40,39,37,42,4,1,-3,5.688496911003313,True,False,False,False,0,0,0.7,0.6000000000000001,True,False,False,15.921927039002185,False,True,False,0,False,False,False,37,1156,22102021,PreComm_Task,None,
20,Stable,60,41,63,38,19,19,3,7.431928458994662,True,False,False,False,0,0,0.3,0.7000000000000001,True,False,False,17.368419965998328,False,True,False,0,False,False,False,63,1156,22102021,PreComm_Task,None,
21,Stable,71,72,65,78,0,1,6,6.822812024998711,True,False,False,True,0.5946196470031282,15.924146647004818,0.6,0.8,False,False,True,0,False,False,False,0,False,False,False,78,1156,22102021,PreComm_Task,None,
22,Stable,93,74,87,80,23,19,-6,6.647213089003344,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.397030072002963,False,True,False,87,1156,22102021,PreComm_Task,None,
23,Stable,60,73,57,76,13,13,3,6.724746810003126,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.325654090003809,True,False,False,76,1156,22102021,PreComm_Task,None,
24,Stable,73,66,72,67,9,7,-1,6.434000246001233,True,False,False,True,0.5420962370044435,15.084634882005048,0.2,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,72,1156,22102021,PreComm_Task,None,
25,Stable,42,41,43,40,2,1,1,5.997775267001998,True,False,False,True,0.6005823359955684,14.798063550995721,0.3,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,43,1156,22102021,PreComm_Task,None,
26,Stable,20,27,17,30,7,7,3,6.893770570997731,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.893720396998106,True,False,False,30,1156,22102021,PreComm_Task,None,
27,Stable,18,25,21,22,10,7,-3,7.077767103997758,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.627339171995118,True,False,False,22,1156,22102021,PreComm_Task,None,
28,Stable,68,81,71,78,16,13,-3,6.542761648001033,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.34276422199764,True,False,False,78,1156,22102021,PreComm_Task,None,
29,Stable,41,22,42,21,20,19,1,6.588590187995578,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.237973976996727,False,True,False,42,1156,22102021,PreComm_Task,None,
30,Stable,35,16,41,10,18,19,6,6.478455759999633,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.429605288001767,False,True,False,41,1156,22102021,PreComm_Task,None,
31,Stable,50,37,51,36,14,13,1,6.1143303330027265,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,10.663184946999536,False,False,True,0,1156,22102021,PreComm_Task,None,
32,Stable,55,68,61,62,17,13,-6,6.599748509994242,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.149687085999176,True,False,False,62,1156,22102021,PreComm_Task,None,
33,Stable,25,38,19,44,12,13,6,6.4492309850029415,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.948208121000789,True,False,False,44,1156,22102021,PreComm_Task,None,
34,Stable,43,42,37,48,5,1,-6,6.343920507999428,True,False,False,False,0,0,0.3,0.5000000000000001,True,False,False,16.090491201997793,False,True,False,0,False,False,False,37,1156,22102021,PreComm_Task,None,
35,Stable,73,80,67,86,6,7,6,6.365868709995993,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.665720343997236,True,False,False,86,1156,22102021,PreComm_Task,None,
36,Stable,71,52,68,55,22,19,-3,6.488308059997507,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.887680956002441,False,True,False,68,1156,22102021,PreComm_Task,None,
37,Stable,68,67,67,68,3,1,-1,5.919474166999862,True,False,False,True,0.5440880570022273,14.569472178001888,0.2,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,68,1156,22102021,PreComm_Task,None,
38,Stable,16,29,13,32,13,13,3,5.991982539999299,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.342309150997608,True,False,False,32,1156,22102021,PreComm_Task,None,
39,Stable,74,67,73,68,9,7,-1,5.949890128998959,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.448716079998121,False,True,False,73,1156,22102021,PreComm_Task,None,
