TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Volatile,38,51,27,62,14,13,11,6.160010874999898,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.699447826000323,True,False,False,62,1062,05082021,PreComm_Task,None,
2,Volatile,67,54,83,38,12,13,16,6.040242539000246,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.24085107799965,True,False,False,38,1062,05082021,PreComm_Task,None,
3,Volatile,29,22,40,11,8,7,11,5.9906878989995676,True,False,False,True,0.6600481400000717,15.14256978100002,0.6,0.8,False,True,False,0,False,False,False,0,False,False,False,40,1062,05082021,PreComm_Task,None,
4,Volatile,37,44,50,31,10,7,-13,6.848682324999572,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.997328462000041,False,True,False,50,1062,05082021,PreComm_Task,None,
5,Volatile,26,19,10,35,11,7,-16,5.810750472000109,True,False,False,False,0,0,0.2,0.7000000000000001,True,False,False,15.639258126000641,False,True,False,0,False,False,False,10,1062,05082021,PreComm_Task,None,
6,Volatile,24,37,35,26,15,13,-11,6.326481574999889,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.826054424000176,True,False,False,26,1062,05082021,PreComm_Task,None,
7,Volatile,48,35,61,22,13,13,13,6.53527655400012,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,9.134908306999932,False,True,False,61,1062,05082021,PreComm_Task,None,
8,Volatile,58,59,42,75,0,1,16,6.122034600000006,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,7.678508846000113,True,False,False,75,1062,05082021,PreComm_Task,None,
9,Volatile,18,31,34,15,17,13,-16,5.6878462029999355,True,False,False,True,0.7407793010006571,15.03717659799986,0.7,0.8,False,True,False,0,False,False,False,0,False,False,False,34,1062,05082021,PreComm_Task,None,
10,Volatile,63,82,76,69,22,19,-13,6.145950622999408,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.944813050999983,True,False,False,69,1062,05082021,PreComm_Task,None,
11,Volatile,21,20,32,9,2,1,11,5.73289707999993,True,False,False,True,0.700353630999416,14.533235988000342,0.2,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,32,1062,05082021,PreComm_Task,None,
12,Volatile,56,37,72,21,18,19,16,6.4466746840007545,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.296259006000582,False,True,False,72,1062,05082021,PreComm_Task,None,
13,Volatile,57,76,73,60,23,19,-16,6.417147895000198,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.465938889000427,False,True,False,73,1062,05082021,PreComm_Task,None,
14,Volatile,43,44,56,31,4,1,-13,6.916080613000304,True,False,False,True,0.533923648000382,15.866914811999777,0.5,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,56,1062,05082021,PreComm_Task,None,
15,Volatile,48,47,61,34,1,1,13,7.546600960999967,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,11.24608757399983,False,True,False,61,1062,05082021,PreComm_Task,None,
16,Volatile,61,80,50,91,20,19,11,6.212806004000413,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,8.412316329000532,True,False,False,91,1062,05082021,PreComm_Task,None,
17,Volatile,40,53,53,40,16,13,-13,6.537283509999725,True,False,False,True,0.215148895999846,15.537895575999755,0.9,0.5000000000000001,False,False,False,16.83646912399945,False,False,True,0,False,False,False,40,1062,05082021,PreComm_Task,None,
18,Volatile,62,69,49,82,7,7,13,6.373204323000209,True,False,False,True,0.4541606340008002,15.225134506999893,0.5,0.6000000000000001,False,False,True,0,False,False,False,0,False,False,False,82,1062,05082021,PreComm_Task,None,
19,Volatile,45,38,61,22,6,7,16,5.996714296999926,True,False,False,True,0.21471543200004817,14.903884742000628,0.8,0.5000000000000001,False,True,False,0,False,False,False,0,False,False,False,61,1062,05082021,PreComm_Task,None,
20,Volatile,32,33,43,22,3,1,-11,5.951434113000687,True,False,False,True,0.3051848129998689,14.753191834000063,0.6,0.40000000000000013,False,True,False,0,False,False,False,0,False,False,False,43,1062,05082021,PreComm_Task,None,
21,Volatile,52,53,68,37,5,1,-16,6.001177451999865,False,True,False,0,0,0,0,0.30000000000000016,0,False,False,0,False,False,False,8.801138775999789,True,False,False,37,1062,05082021,PreComm_Task,None,
22,Volatile,71,64,60,75,9,7,-11,6.428198538999823,False,True,False,0,0,0,0,0.30000000000000016,0,False,False,0,False,False,False,8.0284475440003,False,True,False,60,1062,05082021,PreComm_Task,None,
23,Volatile,19,38,30,27,21,19,-11,5.76693116000024,True,False,False,False,0,0,0.8,0.30000000000000016,True,False,False,15.814999702000023,False,False,True,0,False,False,False,27,1062,05082021,PreComm_Task,None,
24,Volatile,79,60,92,47,19,19,13,5.729010873999869,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,7.977089303999492,False,True,False,92,1062,05082021,PreComm_Task,None,
25,Volatile,53,52,37,68,5,1,-16,7.118574410999827,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,9.767575058000148,True,False,False,68,1062,05082021,PreComm_Task,None,
26,Volatile,49,36,62,23,13,13,13,7.438187448999997,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,9.187269114999253,True,False,False,23,1062,05082021,PreComm_Task,None,
27,Volatile,34,33,23,44,3,1,-11,5.795172727000136,True,False,False,False,0,0,0.5,0.40000000000000013,True,False,False,15.627393437000137,False,True,False,0,False,False,False,23,1062,05082021,PreComm_Task,None,
28,Volatile,21,28,5,44,6,7,16,5.59263130599993,True,False,False,False,0,0,0.3,0.5000000000000001,True,False,False,15.331301295999765,False,False,True,0,False,False,False,44,1062,05082021,PreComm_Task,None,
29,Volatile,29,16,40,5,14,13,11,6.917687662999924,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,9.067912348999926,False,True,False,40,1062,05082021,PreComm_Task,None,
30,Volatile,75,56,86,45,20,19,11,5.730633248000231,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,7.480531574999986,True,False,False,45,1062,05082021,PreComm_Task,None,
31,Volatile,58,39,71,26,19,19,13,7.09554170499996,True,False,False,True,0.5529905409994171,16.244950686000266,0.7,0.6000000000000001,False,True,False,0,False,False,False,0,False,False,False,71,1062,05082021,PreComm_Task,None,
32,Volatile,32,51,48,35,23,19,-16,6.70298515200011,False,True,False,0,0,0,0,0.5000000000000001,0,False,False,0,False,False,False,9.753300982999463,True,False,False,35,1062,05082021,PreComm_Task,None,
33,Volatile,41,28,57,12,12,13,16,6.640551374000097,True,False,False,True,0.30112559300050634,15.54162206700039,0.7,0.5000000000000001,False,True,False,0,False,False,False,0,False,False,False,57,1062,05082021,PreComm_Task,None,
34,Volatile,42,43,26,59,0,1,16,7.149519548000171,False,True,False,0,0,0,0,0.40000000000000013,0,False,False,0,False,False,False,8.748966013999961,False,True,False,26,1062,05082021,PreComm_Task,None,
35,Volatile,45,52,32,65,7,7,13,5.780715461,True,False,False,True,0.21526910200009297,14.594446099999914,0.7,0.40000000000000013,False,False,True,0,False,False,False,0,False,False,False,65,1062,05082021,PreComm_Task,None,
36,Volatile,63,56,52,67,9,7,-11,6.496726452000075,True,False,False,False,0,0,1.0,0.30000000000000016,True,False,False,16.736001624999517,False,True,False,0,False,False,False,52,1062,05082021,PreComm_Task,None,
