TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,28,9,34,3,18,19,6,7.40428203600095,FALSE,TRUE,FALSE,0,0,0,0,0.8,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,8.998008168000520,FALSE,TRUE,FALSE,34,1068,9082021,PreComm_Task,None,
2,Stable,93,74,96,71,19,19,3,6.858330438999470,TRUE,FALSE,FALSE,TRUE,0.5460197000011250,16.309000634000800,1.0,0.8,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,96,1068,9082021,PreComm_Task,None,
3,Stable,69,56,68,57,15,13,-1,6.8927593320004200,TRUE,FALSE,FALSE,TRUE,0.6033051539998270,16.093518032999800,0.7,0.7000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,68,1068,9082021,PreComm_Task,None,
4,Stable,39,20,38,21,21,19,-1,6.399210671999750,FALSE,TRUE,FALSE,0,0,0,0,0.6000000000000000,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,8.048990576000510,FALSE,TRUE,FALSE,38,1068,9082021,PreComm_Task,None,
5,Stable,20,21,14,27,0,1,6,5.92421534999994,TRUE,FALSE,FALSE,TRUE,0.5523749699968900,15.174291994000700,0.8,0.6000000000000000,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,27,1068,9082021,PreComm_Task,None,
6,Stable,77,64,80,61,13,13,3,7.341694951999670,TRUE,FALSE,FALSE,FALSE,0,0,0.9,0.5000000000000000,TRUE,FALSE,FALSE,17.68298124500140,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,61,1068,9082021,PreComm_Task,None,
7,Stable,28,41,31,38,16,13,-3,6.6688176470015600,FALSE,TRUE,FALSE,0,0,0,0,0.6000000000000000,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,8.568965115999160,TRUE,FALSE,FALSE,38,1068,9082021,PreComm_Task,None,
8,Stable,49,48,50,47,2,1,1,5.93431399399924,TRUE,FALSE,FALSE,TRUE,0.5487633279990410,15.084323596001900,0.7,0.6000000000000000,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,50,1068,9082021,PreComm_Task,None,
9,Stable,40,41,37,44,1,1,3,5.644375914998820,TRUE,FALSE,FALSE,FALSE,0,0,1.0,0.5000000000000000,TRUE,FALSE,FALSE,16.089569575997300,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,44,1068,9082021,PreComm_Task,None,
10,Stable,68,87,67,88,20,19,1,6.512088724000930,FALSE,TRUE,FALSE,0,0,0,0,0.6000000000000000,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,8.211297646001190,TRUE,FALSE,FALSE,88,1068,9082021,PreComm_Task,None,
11,Stable,50,57,44,63,6,7,6,7.88396740099779,FALSE,TRUE,FALSE,0,0,0,0,0.6000000000000000,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.48461886199950,TRUE,FALSE,FALSE,63,1068,9082021,PreComm_Task,None,
