TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Volatile,40,47,24,63,6,7,16,6.055292596996878,True,False,False,True,0.7095926350011723,15.150771681997867,0.5,0.8,False,False,True,0,False,False,False,0,False,False,False,63,1125,14092021,PreComm_Task,None,
2,Volatile,19,20,30,9,3,1,-11,6.289110243000323,True,False,False,False,0,0,0.4,0.7000000000000001,True,False,False,16.31015567400027,False,True,False,0,False,False,False,30,1125,14092021,PreComm_Task,None,
3,Volatile,43,36,56,23,7,7,13,6.506147227999463,True,False,False,True,0.6982198820041958,15.306408146003378,0.2,0.8,False,True,False,0,False,False,False,0,False,False,False,56,1125,14092021,PreComm_Task,None,
4,Volatile,58,51,47,62,9,7,-11,6.546597436994489,True,False,False,True,0.6107111800010898,15.547362397999677,0.5,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,62,1125,14092021,PreComm_Task,None,
5,Volatile,56,75,67,64,21,19,-11,5.396200085000601,True,False,False,True,0.5916128169992589,14.497451588998956,0.6,0.6000000000000001,False,False,False,15.533198895005626,False,True,False,0,False,False,False,67,1125,14092021,PreComm_Task,None,
6,Volatile,17,30,1,46,12,13,16,5.750881600994035,True,False,False,True,0.60561872299877,15.149604194994026,0.9,0.7000000000000001,False,False,False,16.264525402999425,False,True,False,0,False,False,False,1,1125,14092021,PreComm_Task,None,
7,Volatile,41,40,28,53,4,1,-13,6.084602338996774,True,False,False,True,0.7897232269970118,15.185511568000948,0.4,0.8,False,False,True,0,False,False,False,0,False,False,False,53,1125,14092021,PreComm_Task,None,
8,Volatile,50,31,63,18,19,19,13,5.791274432995124,True,False,False,False,0,0,0.6,0.7000000000000001,True,False,False,16.032536328995775,False,False,True,0,False,False,False,18,1125,14092021,PreComm_Task,None,
9,Volatile,40,41,27,54,1,1,13,6.320627642002364,True,False,False,True,0.6989948710033786,15.820595831995888,0.9,0.8,False,False,True,0,False,False,False,0,False,False,False,54,1125,14092021,PreComm_Task,None,
10,Volatile,44,45,33,56,2,1,11,6.847951607996947,True,False,False,True,0.6361423790003755,15.897699670997099,0.5,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,56,1125,14092021,PreComm_Task,None,
