TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,20,19,23,16,1,1,3,6.907311427999957,True,False,False,True,0.6505692159998944,16.14970540000013,0.7,0.8,False,True,False,0,False,False,False,0,False,False,False,23,1057,03082021,PreComm_Task,None,
2,Stable,55,54,52,57,4,1,-3,7.250653486999909,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.199110497999754,True,False,False,57,1057,03082021,PreComm_Task,None,
3,Stable,85,66,82,69,22,19,-3,7.243150010000136,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,10.493662236999626,False,True,False,82,1057,03082021,PreComm_Task,None,
4,Stable,72,91,69,94,19,19,3,7.6221893729998556,True,False,False,False,0,0,0.3,0.7000000000000001,True,False,False,17.549322914000186,False,False,True,0,False,False,False,94,1057,03082021,PreComm_Task,None,
5,Stable,21,14,18,17,10,7,-3,6.9755657760006216,True,False,False,False,0,0,0.4,0.8,True,False,False,17.09486347500024,False,True,False,0,False,False,False,18,1057,03082021,PreComm_Task,None,
6,Stable,8,21,9,20,15,13,-1,7.746495984999456,True,False,False,False,0,0,0.6,0.9,True,False,False,18.17561162899983,False,False,True,0,False,False,False,20,1057,03082021,PreComm_Task,None,
7,Stable,67,86,73,80,23,19,-6,6.690791944999546,False,True,False,0,0,0,0,1.0,0,False,False,0,False,False,False,9.390019863999441,False,True,False,73,1057,03082021,PreComm_Task,None,
8,Stable,33,26,34,25,8,7,1,6.575360112000453,False,True,False,0,0,0,0,1.0,0,False,False,0,False,False,False,8.174521810999977,True,False,False,25,1057,03082021,PreComm_Task,None,
9,Stable,24,11,25,10,14,13,1,8.204681496000376,False,False,True,0,0,0,0,1.0,0,False,False,0,False,False,False,0,True,False,False,0,1057,03082021,PreComm_Task,None,
10,Stable,40,41,34,47,0,1,6,7.029759594000097,False,True,False,0,0,0,0,1.0,0,False,False,0,False,False,False,9.828982547000123,False,True,False,34,1057,03082021,PreComm_Task,None,
11,Stable,54,53,48,59,5,1,-6,8.027503505999448,False,True,False,0,0,0,0,1.0,0,False,False,0,False,False,False,11.275625628999478,False,True,False,48,1057,03082021,PreComm_Task,None,
12,Stable,63,76,57,82,12,13,6,7.672603381999579,False,True,False,0,0,0,0,1.0,0,False,False,0,False,False,False,10.67155896999975,False,True,False,57,1057,03082021,PreComm_Task,None,
13,Stable,69,76,75,70,11,7,-6,7.375469588000669,True,False,False,True,0.5994873310000912,16.075276452999788,0.2,1.0,False,True,False,0,False,False,False,0,False,False,False,75,1057,03082021,PreComm_Task,None,
14,Stable,25,18,31,12,6,7,6,7.202419512999768,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,9.750584475999858,False,True,False,31,1057,03082021,PreComm_Task,None,
15,Stable,32,39,33,38,9,7,-1,6.674603953999394,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,9.274920727999415,False,True,False,33,1057,03082021,PreComm_Task,None,
16,Stable,44,43,45,42,2,1,1,7.777963597000053,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,9.576862157000505,True,False,False,42,1057,03082021,PreComm_Task,None,
17,Stable,76,69,79,66,7,7,3,8.198947371999566,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,10.748025056000188,True,False,False,66,1057,03082021,PreComm_Task,None,
18,Stable,60,41,61,40,20,19,1,7.988250395999785,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,11.336849890999474,True,False,False,40,1057,03082021,PreComm_Task,None,
19,Stable,78,65,81,62,13,13,3,6.9003264069997385,True,False,False,False,0,0,0.9,0.9,True,False,False,17.632681001000492,False,True,False,0,False,False,False,81,1057,03082021,PreComm_Task,None,
20,Stable,56,75,57,74,21,19,-1,7.33169897300013,False,True,False,0,0,0,0,1.0,0,False,False,0,False,False,False,11.180687803000183,True,False,False,74,1057,03082021,PreComm_Task,None,
