TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Volatile,37,38,24,51,1,1,13,6.154181333986344,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.694547188002616,True,False,False,51,1161,05112021,PreComm_Task,None,
2,Volatile,40,27,53,14,13,13,13,6.3733455869951285,True,False,False,True,0.7147966869815718,15.477636391995475,0.4,0.8,False,True,False,0,False,False,False,0,False,False,False,53,1161,05112021,PreComm_Task,None,
3,Volatile,22,41,9,54,19,19,13,6.527684833010426,True,False,False,False,0,0,0.9,0.7000000000000001,True,False,False,17.185048976010876,False,False,True,0,False,False,False,54,1161,05112021,PreComm_Task,None,
4,Volatile,67,48,83,32,18,19,16,7.646074932010379,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,9.495618207001826,False,True,False,83,1161,05112021,PreComm_Task,None,
5,Volatile,60,67,73,54,10,7,-13,6.177151073992718,True,False,False,True,0.44506413099588826,15.12731662299484,0.5,0.8,False,True,False,0,False,False,False,0,False,False,False,73,1161,05112021,PreComm_Task,None,
6,Volatile,68,49,79,38,20,19,11,6.178228499018587,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,7.879390442016302,False,True,False,79,1161,05112021,PreComm_Task,None,
7,Volatile,53,34,42,45,21,19,-11,6.165598525985843,True,False,False,False,0,0,1.0,0.7000000000000001,True,False,False,16.903287942986935,False,False,True,0,False,False,False,45,1161,05112021,PreComm_Task,None,
8,Volatile,59,72,75,56,17,13,-16,6.361064886004897,True,False,False,True,0.7094430249999277,15.960525483998936,0.9,0.8,False,True,False,0,False,False,False,0,False,False,False,75,1161,05112021,PreComm_Task,None,
9,Volatile,51,64,40,75,14,13,11,6.06710557002225,True,False,False,True,0.6958977309986949,15.768112905003363,1.0,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,75,1161,05112021,PreComm_Task,None,
10,Volatile,62,63,51,74,2,1,11,6.467091242026072,True,False,False,False,0,0,0.5,0.6000000000000001,True,False,False,16.64912758002174,False,False,True,0,False,False,False,74,1161,05112021,PreComm_Task,None,
11,Volatile,19,38,32,25,22,19,-13,6.017170725011965,True,False,False,False,0,0,0.3,0.7000000000000001,True,False,False,16.05177453099168,False,True,False,0,False,False,False,32,1161,05112021,PreComm_Task,None,
12,Volatile,57,50,46,61,9,7,-11,6.365069977007806,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.614102585997898,False,True,False,46,1161,05112021,PreComm_Task,None,
13,Volatile,24,25,37,12,4,1,-13,6.24506198297604,True,False,False,True,0.6606503939838149,15.495910447003553,0.6,0.8,False,True,False,0,False,False,False,0,False,False,False,37,1161,05112021,PreComm_Task,None,
14,Volatile,57,58,68,47,3,1,-11,7.166887095983839,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.866557878995081,False,True,False,68,1161,05112021,PreComm_Task,None,
15,Volatile,41,60,57,44,23,19,-16,5.986928092985181,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,8.387429419002729,False,True,False,57,1161,05112021,PreComm_Task,None,
16,Volatile,24,37,37,24,16,13,-13,6.080838410998695,True,False,False,False,0,0,0.9,0.7000000000000001,True,False,False,16.76078928000061,False,False,True,0,False,False,False,24,1161,05112021,PreComm_Task,None,
