TrialNumber,Condition,OptionA,OptionB,EndA,EndB,combination,difference,change,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,participant,date,expName,frameRate,
1,Stable,76,57,82,51,18,19,6,6.563163801009068,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,9.44772612201632,False,True,False,82,1148,15102021,PreComm_Task,None,
2,Stable,74,61,80,55,12,13,6,6.435659361013677,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.885041317989817,False,True,False,80,1148,15102021,PreComm_Task,None,
3,Stable,34,41,40,35,11,7,-6,6.323032736981986,True,False,False,False,0,0,0.6,0.8,True,False,False,16.767227253993042,False,False,True,0,False,False,False,35,1148,15102021,PreComm_Task,None,
4,Stable,74,87,77,84,16,13,-3,6.855745573004242,False,True,False,0,0,0,0,0.9,0,False,False,0,False,False,False,9.203639546001796,True,False,False,84,1148,15102021,PreComm_Task,None,
5,Stable,13,14,12,15,2,1,1,6.397563428996364,True,False,False,True,0.6273881680099294,15.697208181984024,0.7,0.9,False,False,True,0,False,False,False,0,False,False,False,15,1148,15102021,PreComm_Task,None,
6,Stable,42,35,41,36,9,7,-1,6.931799271987984,True,False,False,False,0,0,0.3,0.8,True,False,False,17.0878301729972,False,True,False,0,False,False,False,41,1148,15102021,PreComm_Task,None,
7,Stable,31,24,34,21,7,7,3,5.945183444011491,True,False,False,True,0.5917882559879217,14.745616878004512,0.2,0.9,False,True,False,0,False,False,False,0,False,False,False,34,1148,15102021,PreComm_Task,None,
8,Stable,79,60,78,61,21,19,-1,6.314981482020812,False,True,False,0,0,0,0,0.8,0,False,False,0,False,False,False,8.76999066301505,False,True,False,78,1148,15102021,PreComm_Task,None,
9,Stable,32,19,26,25,17,13,-6,6.518463510001311,True,False,False,True,0.711690942000132,16.019214603002183,0.8,0.8,False,True,False,0,False,False,False,0,False,False,False,26,1148,15102021,PreComm_Task,None,
10,Stable,24,43,21,46,19,19,3,7.123308195994468,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.823097710992442,True,False,False,46,1148,15102021,PreComm_Task,None,
11,Stable,13,6,14,5,8,7,1,6.25201016801293,True,False,False,True,0.345924841996748,15.1028017430217,0.5,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,14,1148,15102021,PreComm_Task,None,
12,Stable,27,28,30,25,4,1,-3,6.3187138750217855,True,False,False,False,0,0,0.3,0.6000000000000001,True,False,False,16.27561508200597,False,False,True,0,False,False,False,25,1148,15102021,PreComm_Task,None,
13,Stable,19,20,13,26,0,1,6,6.955828787991777,True,False,False,True,0.33123966099810787,15.805169498984469,0.5,0.7000000000000001,False,False,True,0,False,False,False,0,False,False,False,26,1148,15102021,PreComm_Task,None,
14,Stable,62,63,59,66,1,1,3,6.026397218025522,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.42778375101625,True,False,False,66,1148,15102021,PreComm_Task,None,
15,Stable,70,71,76,65,5,1,-6,6.103719089995138,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.605656046012882,True,False,False,65,1148,15102021,PreComm_Task,None,
16,Stable,71,90,74,87,22,19,-3,6.52282959598233,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.969257858989295,True,False,False,87,1148,15102021,PreComm_Task,None,
17,Stable,65,72,59,78,6,7,6,6.11165034599253,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.75997023601667,True,False,False,78,1148,15102021,PreComm_Task,None,
18,Stable,23,10,22,11,15,13,-1,6.148931075003929,True,False,False,False,0,0,0.4,0.6000000000000001,True,False,False,16.186223975993926,False,True,False,0,False,False,False,22,1148,15102021,PreComm_Task,None,
19,Stable,15,28,12,31,13,13,3,6.377080391976051,False,True,False,0,0,0,0,0.7000000000000001,0,False,False,0,False,False,False,9.677520667988574,True,False,False,31,1148,15102021,PreComm_Task,None,
20,Stable,45,38,42,41,10,7,-3,6.578769312996883,True,False,False,True,0.35399549698922783,15.269620610983111,0.3,0.7000000000000001,False,True,False,0,False,False,False,0,False,False,False,42,1148,15102021,PreComm_Task,None,
21,Stable,61,42,55,48,23,19,-6,6.4728203949925955,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.922531233984046,False,True,False,55,1148,15102021,PreComm_Task,None,
22,Stable,62,75,61,76,14,13,1,6.086941449000733,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.435881839017384,True,False,False,76,1148,15102021,PreComm_Task,None,
23,Stable,32,51,31,52,20,19,1,6.292227625002852,False,True,False,0,0,0,0,0.6000000000000001,0,False,False,0,False,False,False,8.892960211000172,True,False,False,52,1148,15102021,PreComm_Task,None,
24,Stable,12,13,13,12,3,1,-1,5.948939917987445,True,False,False,False,0,0,0.8,0.6000000000000001,True,False,False,16.382507567002904,False,False,True,0,False,False,False,12,1148,15102021,PreComm_Task,None,
