TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant
30,52,32,61,23,d4,0,-9,TRUE,FALSE,FALSE,7.633827925,TRUE,FALSE,FALSE,TRUE,0.244722843,16.81277704,1,0.25,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,61,4062019,60.16556524,PreComm_Task,L1_A
31,71,43,58,56,k3,0,13,TRUE,FALSE,FALSE,7.648364067,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70006013,FALSE,TRUE,FALSE,58,4062019,60.16556524,PreComm_Task,L1_A
32,76,48,73,51,a4,0,3,TRUE,FALSE,FALSE,7.632576942,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.68351102,FALSE,TRUE,FALSE,73,4062019,60.16556524,PreComm_Task,L1_A
33,54,82,67,69,k1,0,13,FALSE,TRUE,FALSE,7.632694006,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.68388295,TRUE,FALSE,FALSE,69,4062019,60.16556524,PreComm_Task,L1_A
34,17,45,4,58,l4,0,-13,FALSE,TRUE,FALSE,7.682445049,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73340297,TRUE,FALSE,FALSE,58,4062019,60.16556524,PreComm_Task,L1_A
35,49,29,40,38,c3,0,9,TRUE,FALSE,FALSE,7.666380882,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71680307,TRUE,FALSE,FALSE,38,4062019,60.16556524,PreComm_Task,L1_A
36,41,21,44,18,b4,0,-3,TRUE,FALSE,FALSE,7.682795048,TRUE,FALSE,FALSE,FALSE,0,0,0.6,0.2,TRUE,FALSE,FALSE,17.46645904,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,44,4062019,60.16556524,PreComm_Task,L1_A
37,65,37,62,40,g2,0,3,TRUE,FALSE,FALSE,7.633678913,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.68381381,FALSE,FALSE,TRUE,0,4062019,60.16556524,PreComm_Task,L1_A
38,65,37,56,46,i4,0,9,TRUE,FALSE,FALSE,7.615751982,TRUE,FALSE,FALSE,TRUE,0.216812134,16.466434,0.7,0.25,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,56,4062019,60.16556524,PreComm_Task,L1_A
39,34,62,31,65,h3,0,-3,FALSE,TRUE,FALSE,7.649744987,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70039487,TRUE,FALSE,FALSE,65,4062019,60.16556524,PreComm_Task,L1_A
40,50,30,41,39,c2,0,9,TRUE,FALSE,FALSE,7.634157181,TRUE,FALSE,FALSE,FALSE,0,0,1.2,0.2,TRUE,FALSE,FALSE,18.01870799,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,39,4062019,60.16556524,PreComm_Task,L1_A
41,83,55,86,52,h4,0,-3,TRUE,FALSE,FALSE,7.683125019,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73341298,FALSE,TRUE,FALSE,86,4062019,60.16556524,PreComm_Task,L1_A
42,76,48,89,35,l1,0,-13,TRUE,FALSE,FALSE,7.65050602,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70125794,FALSE,TRUE,FALSE,89,4062019,60.16556524,PreComm_Task,L1_A
43,71,43,68,46,a3,0,3,TRUE,FALSE,FALSE,7.665177107,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71673393,FALSE,TRUE,FALSE,68,4062019,60.16556524,PreComm_Task,L1_A
44,72,44,85,31,l3,0,-13,TRUE,FALSE,FALSE,7.682591915,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73402381,FALSE,TRUE,FALSE,85,4062019,60.16556524,PreComm_Task,L1_A
45,43,15,40,18,g4,0,3,TRUE,FALSE,FALSE,7.666620016,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71717691,FALSE,TRUE,FALSE,40,4062019,60.16556524,PreComm_Task,L1_A
46,81,61,90,52,d3,0,-9,TRUE,FALSE,FALSE,7.648878098,TRUE,FALSE,FALSE,TRUE,0.216790915,16.49999809,0.7,0.25,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,90,4062019,60.16556524,PreComm_Task,L1_A
47,39,67,52,54,k4,0,13,FALSE,TRUE,FALSE,7.682771921,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.73348498,TRUE,FALSE,FALSE,54,4062019,60.16556524,PreComm_Task,L1_A
48,80,52,89,43,j2,0,-9,TRUE,FALSE,FALSE,7.615870953,TRUE,FALSE,FALSE,FALSE,0,0,0.9,0.2,TRUE,FALSE,FALSE,17.70072484,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,89,4062019,60.16556524,PreComm_Task,L1_A
